parameters,ess,rhat,ess_per_sec
μ,3544.9965106386144,1.000176924519442,0.6721501489422895
α,3410.711078021864,1.0007911937253204,0.6466889183703394
ϵ,4088.5330667604276,1.0002983049990224,0.7752075641065832
η,3362.7650706587215,1.000914742551121,0.637598100962308
β,6320.408743270534,1.000379812744336,1.198383035192363
N0_rep1,5693.7035728877345,1.0005305604383483,1.079556409453367
N0_rep2,5367.762847744398,1.0001573554740626,1.0177563184535636
V0_rep1,8401.903471560616,1.0000911638005616,1.593045480541493
V0_rep2,5057.788765275303,1.0005962713898644,0.9589835876272875
σ_N,5051.97743161058,1.0003290252261268,0.9578817279282512
σ_V,4924.814754781486,1.0001228574979097,0.9337710096485374
data_ostreo_rep2[4],6128.482167633507,1.000060428954014,1.161992738047283
