TIME;REPLICATE_1;REPLICATE_2
0;1069662.921;5937078.652
0.247222222;5937078.652;6359550.562
0.495833333;3687640.449;5089887.64
0.746527778;4341573.034;4038202.247
1.014583333;2777528.09;4004494.382
1.249305556;4894382.022;4456179.775
1.494444444;5314606.742;1707865.169
1.746527778;11123595.51;9741573.034
2.018055556;4039517.014;5268935.236
4.024305556;47683863.89;38990120.75
5.022222222;336223929.7;465971459.9
6.01875;1022941822;2008726674
7.029861111;3089297475;4097804610
8.024305556;3024478595;3440065862
9.022222222;7405488474;7555653128
10.02291667;3500000000;2688035126
11.02361111;2866738428;852099031.2
12.02083333;3725941873;3569644779
13.02013889;4014639397;3822820237
