TIME;REPLICATE_1;REPLICATE_2
0;1033148.148;957777.7778
0.998611111;2396408.84;2583782.743
2.000694444;6816298.343;7736902.928
2.99375;11080801.1;56038266.74
3.999305556;22703729.28;25011726.5
5;32755524.86;39749233.27
5.997916667;44026243.09;54178242.83
7.004861111;45883977.9;61665163.27
8.001388889;72037292.82;92040411.33
8.997222222;84755547.54;82392206.39
10.01111111;111106186.8;95018613.72
10.99861111;114979613.5;115032795.6
12.00833333;98652721.15;106098209.5
13.01111111;103687289.5;99822726.47
