TIME;REPLICATE_1;REPLICATE_2
0;910185.1852;931666.6667
1.014583333;2187154.696;3283513.097
2.018055556;4177140.884;9037172.573
3.017361111;693888.1215;2273494.654
4.024305556;41954.41989;105358.1093
5.022222222;18991.71271;25617.89645
6.01875;6560.773481;15154.2486
7.029861111;47997.23757;49431.71568
8.024305556;134323.2044;182572.6141
9.022222222;554934.1512;566660.6531
10.02291667;1318383.265;1574188.974
11.02361111;2591384.506;2957454.352
12.02083333;3314660.521;3409147.314
13.02013889;3020741.003;3795780.89
