TIME;REPLICATE_1;REPLICATE_2
0;1227777.778;1225555.556
1.004166667;4256933.744;3660053.929
2.014583333;14800462.25;14190677.97
3.0125;76447195.65;77253798.54
4.01875;52358333.33;63412500
5.016666667;44820833.33;64429166.67
6.014583333;75943750;74689583.33
7.025694444;115904166.7;116308333.3
8.020833333;124620833.3;114670833.3
9.020833333;122516666.7;107650000
10.01805556;110075000;133770833.3
11.00972222;152180478.8;157760589.3
12.01944444;151852670.3;162523020.3
13.01388889;135082872.9;158372007.4
