TIME;REPLICATE_1;REPLICATE_2
0;2642696.629;9564044.944
0.240277778;7456179.775;5182022.472
0.489583333;6584269.663;6674157.303
0.736111111;6570786.517;5955056.18
1.004166667;8883312.422;4085319.95
1.242361111;7754077.792;7242158.093
1.488888889;5912170.64;5420326.223
1.741666667;6951066.499;6223337.516
2.014583333;9464324.918;9082327.113
3.0125;55257958.29;42349066.96
5.016666667;2160090909;2144000000
6.014583333;4586136364;
7.025694444;4890000000;5462045455
8.020833333;1659772727;2048636364
9.020833333;1002727273;2206590909
10.01805556;4868675996;5205597417
11.00972222;4448331539;5743272336
12.01944444;4993003229;4679224973
13.01388889;4918191604;4930032293
