TIME;REPLICATE_1;REPLICATE_2
0;5691342.535;7081555.834
0.236111111;8225846.926;7217063.99
0.484027778;11819322.46;11678795.48
0.727083333;22740276.04;30845671.27
1.006944444;194509410.3;150745294.9
1.236805556;413299874.5;331468005
1.482638889;326524466.8;281079046.4
1.7375;312647427.9;256612296.1
2.010416667;467500000;394363636.4
3.009027778;339545454.5;377954545.5
4.016666667;310681818.2;304659090.9
5.014583333;450852272.7;445738636.4
6.009722222;343909090.9;455386363.6
7.024305556;836477272.7;534772727.3
8.01875;1016931818;1077954545
9.022222222;1335000000;1095340909
10.01388889;1266630786;1363401507
11.01041667;1358449946;1445102260
12.01875;631324004.3;1127018299
13.01111111;465446716.9;693218514.5
