TIME;REPLICATE_1;REPLICATE_2
0;2061851.852;2022962.963
1.006944444;3217835.131;840138.6749
2.010416667;45454.54545;24653.31279
3.009027778;26261.4894;30013.13074
4.016666667;6662.859318;14277.55568
5.014583333;39977.15591;28555.11136
6.009722222;29506.94841;27603.27432
7.024305556;66247.85837;82619.45555
8.01875;100126.2854;114558.9031
9.022222222;138011.9069;159660.8335
10.01388889;174995.4898;192025.9787
11.01041667;185278.7299;50333.75428
12.01875;190976.0589;202394.1068
13.01111111;310865.5617;340147.3297
