TIME;REPLICATE_1;REPLICATE_2
0;1064259.259;1191851.852
0.994444444;2632318.952;2435670.262
1.999305556;7505778.12;8819337.442
2.99375;46966797.97;48054773.96
4.002083333;51132686.08;62411955.07
5.001388889;44883875.88;48220064.72
5.999305556;53459927.66;64558347.61
6.999305556;65434037.69;69793451.36
8.002083333;102642973.1;48994226.95
8.998611111;121739130.4;116426123
10.00555556;240303085;253409705.9
10.99375;99824896.27;47090041.49
12.00555556;156921348.3;163872659.2
13;120561797.8;114996254.7
