TIME;REPLICATE_1;REPLICATE_2
0;1811794.228;5435382.685
0.222916667;4752823.087;4200752.823
0.477083333;10164654.23;10594950.6
0.711805556;15569703.62;16439077.94
0.998611111;56469813.39;51178924.26
1.225694444;342340285.4;296939626.8
1.472916667;499495060.4;455214050.5
1.727777778;508144895.7;564500548.8
2.000694444;352318181.8;447000000
3.000694444;195000000;201079545.5
4.008333333;314090909.1;334272727.3
5.00625;378545454.5;387818181.8
6;337090909.1;329727272.7
7.014583333;334363636.4;460909090.9
8.009027778;432272727.3;327545454.5
9.013888889;454090909.1;567272727.3
10.00486111;475995694.3;477287405.8
11.00069444;490742734.1;389235737.4
12.00833333;427125941.9;452529601.7
13.00208333;534660925.7;521205597.4
