Strain;Salinity;beta;eta;;;;
A;S1;115.3866041;0.020833333;48.00000077;24.00000096;;
A;S2;272.8369052;0.041666667;23.99999981;;;
A;S3;239.5606531;0.041666667;23.99999981;;;
A;S4;139.2375718;0.041666667;23.99999981;;;
A;S5;202.6905373;0.041666667;23.99999981;;;
A;S6;130.6861349;0.055555556;17.99999986;;;
B;S1;171;0.020833333;48.00000077;0;;
B;S2;171;0.018518519;53.9999986;;;
B;S3;171;0.018518519;53.9999986;;;
B;S4;77.39747538;0.020833333;48.00000077;;;
B;S5;73.6498367;0.023809524;41.99999966;;;18.00000013
B;S6;79.88575948;0.020833333;48.00000077;;;12.00000019
C;S1;81.23288886;0.023809524;41.99999966;35.99999968;;
C;S2;171;0.041666667;23.99999981;;;
C;S3;171;0.166666667;5.999999988;;;
C;S4;198.0640867;0.166666667;5.999999988;;;
C;S5;230.7079518;0.166666667;5.999999988;;;
C;S6;198.2315554;0.083333333;12.00000005;;;
D;S1;171;0.055555556;17.99999986;11.99999987;;
D;S2;315.4245684;0.166666667;5.999999988;;;
D;S3;198.5467604;0.166666667;5.999999988;;;
D;S4;123.7480879;0.166666667;5.999999988;;;
D;S5;162.3253764;0.166666667;5.999999988;;;
D;S6;239.9475946;0.166666667;5.999999988;;;
