parameters,ess,rhat,ess_per_sec
μ,7456.769329024385,1.0002979906188336,0.1748478218597158
Kr,3147.547926647338,1.001331834258178,0.07380433467765003
ϵ,2468.0933178122746,1.0008908603116036,0.057872346819994314
ϕlog,2730.8475651141716,1.0006216189634367,0.0640334610771168
η,2502.4545440613356,1.0009305819418461,0.05867805574043685
β,3382.0805684081693,1.0003559944963705,0.07930370307131492
Rper,5555.731737006121,1.000531166352984,0.13027191135863
N0_rep1,6981.727623623155,1.0002458951242723,0.1637089487342416
N0_rep2,6511.6257633282885,1.0004310058031327,0.15268590608696261
V0_rep1,7254.943026090146,0.9998092218675891,0.17011535825450624
V0_rep2,4962.823812540149,1.0001124039702916,0.11636928750345389
σ_N,2655.7678449760347,1.0008592852860714,0.062272976750359726
σ_V,5136.738233682201,1.0002518633142155,0.1204472677097505
