r,K,u0_rep1,u0_rep2
1.1970141027785413,1.4188762949475032e8,1.0270023230153329e6,1.0449429340270812e6
1.231956834097781,1.3342770457082625e8,1.0632717401739778e6,960566.6795486063
1.2317752979338144,1.2853445514633097e8,1.376492519757701e6,1.0663252185067055e6
1.1911943148651993,1.346689231783366e8,978488.2282231506,1.025446598161406e6
1.1973273957488648,1.275646944629846e8,1.379015987928682e6,1.0435727398081032e6
1.122761017519264,1.2367124845885879e8,1.197242267759319e6,1.4644001488420991e6
1.1349141828386755,1.2687246057542774e8,2.292055903738044e6,954566.0330961347
1.1062354174688644,1.441671980489206e8,1.2344915670602282e6,1.4123281328049996e6
1.0744084850597595,1.5008372745787823e8,1.961669616374176e6,1.1946256033031545e6
1.2769090057674333,1.3155600733991201e8,867547.3465348496,1.2046671422444626e6
1.1745902422303214,1.4074239386440492e8,1.248638355636492e6,1.0540873444582445e6
1.3132761982036025,1.2245758855064066e8,946837.6759271687,931208.886270094
1.225388020184193,1.2480465216688912e8,807359.5588337622,1.023526027398186e6
1.2232508241666307,1.4890976498426482e8,1.1244719015928605e6,939010.5954940668
1.3249931168391604,1.2360129832198419e8,1.1116619524670045e6,792630.4874714726
1.2449304151192486,1.6306593691510832e8,814473.5926927524,1.0997511469613323e6
1.0199430375521508,1.4833310470605135e8,1.9508358132842216e6,1.1133114800314575e6
1.3284798774803024,1.3358618438517438e8,734246.7558115689,893651.0362314008
1.3343982200290014,1.3041253585447748e8,873365.2494368259,907441.9864237742
1.116943514184066,1.3208404595008837e8,1.0239285640005929e6,989059.3521599246
1.0801249069523735,1.6398930019260153e8,1.443578474648457e6,1.0614328232848248e6
1.1253815281937207,1.6768477182461432e8,1.7323444630338722e6,1.0441092408244542e6
1.2051764304783863,1.6548837108554783e8,1.1780806770810043e6,1.219824870258648e6
1.0856479206935674,1.382935254831823e8,1.1161153792044194e6,747442.1640558975
1.2024077336991927,1.3947791085870007e8,904617.7054023354,928720.0450154445
1.1696525443961272,1.279060155917939e8,1.1230111513236938e6,1.3722428762223367e6
1.246216355788619,1.489544405295042e8,960833.8495997378,689417.8972566447
1.2898518040683151,1.4842688510145047e8,1.0392142561928536e6,652651.2976413653
1.2665941060989232,1.3746456015720573e8,946341.6911895873,928376.6373339226
1.1954560500821285,1.3271397599875325e8,1.490775775546872e6,972393.8344889792
1.2977232479340806,1.1805172645565674e8,801151.0568273158,965999.1226011052
1.285054387190431,1.6872002479325223e8,1.052818304300151e6,803810.1662638639
1.0468910241308846,1.3398920835941312e8,1.2004451327846572e6,1.5296189746870666e6
1.2186677350467154,1.2817063801659453e8,1.3894194206464312e6,891660.0856973965
1.3715450495500487,1.3864323344633895e8,725459.5783594323,906336.1010386623
1.2518639396550537,1.5602614522040877e8,1.3435513625932653e6,1.1640166463347962e6
1.212654138436025,1.2847862205048239e8,1.1501866968976345e6,895135.5238666944
1.2454606682227287,1.514375123435254e8,1.1415561742844686e6,1.3796049615605967e6
1.2672340546607415,1.3303034656779298e8,1.0641745324123069e6,1.0449918176779584e6
1.1710789150395091,1.497127536735301e8,1.3248415636229618e6,1.0394710662524618e6
1.1151731820755768,1.4242162219699243e8,1.2882643824657155e6,1.2053597284296318e6
1.2444970415711802,1.4195796520634148e8,1.3441430149562738e6,1.1001739777985457e6
1.1780768255676755,1.3342748028715017e8,1.0946061647561279e6,1.132232705867882e6
1.3379424741206567,1.283816212755296e8,907398.6914115304,691858.5785012414
1.1699216724021153,1.3506871394127488e8,1.2514744145778082e6,1.2073062365384465e6
1.3540847788993409,1.3647059910648108e8,1.0093032197972509e6,723294.4766028202
1.349349815512294,1.2775870313609613e8,949559.9983134707,1.1083076737967874e6
1.2463489364589873,1.4187134339212596e8,991816.2462479783,1.2457236001803621e6
1.2015491541115269,1.4724596143549886e8,1.6808068858958443e6,1.1746149765238718e6
1.268127900376208,1.5244435358766904e8,1.3249884143394842e6,1.3303353959599328e6
1.262866233636221,1.9580852563106418e8,1.2567501836988805e6,815818.6467740911
1.1706738662355223,1.2424528356599925e8,1.139561651318354e6,1.0543864164882472e6
1.225912531748349,1.2563573192117666e8,1.1917371761522356e6,932992.2703858993
1.1814750845560227,1.4524456559792697e8,995038.2553801229,1.0375098286198071e6
1.3172088817673144,1.3533311155208796e8,913591.8775687369,986056.7127245199
1.3454672085505892,1.5582166235965547e8,902506.1952248963,747476.2366246529
1.2282551944946445,1.3092543485178372e8,1.315109431763636e6,817672.2661098382
1.1812722049931732,1.1463972948268963e8,1.1042259525010367e6,1.3027235775920136e6
1.2321026387145335,1.6427575026239055e8,1.3076720119095272e6,917774.9220494025
1.3091996436291424,1.096343227101363e8,1.056165583679434e6,837331.7623074809
1.1945980500017952,1.3639763321907496e8,1.275514742924089e6,1.062708587366681e6
1.197771864835588,1.3934870851788294e8,1.361120488918253e6,1.0503722761524187e6
1.1571505040960595,1.516633252658835e8,1.1930656709899795e6,1.3597645335066337e6
1.2515363780306086,1.258396006441729e8,1.1290620754912135e6,834112.0154743836
1.2432810413257882,1.7927977684847048e8,992672.7683306837,1.0704123911449926e6
1.2089562809020549,1.7681238217533365e8,1.1496511348176035e6,761373.3764505116
1.3686275260000114,1.561714637359629e8,848284.5067569701,897462.3743227804
1.3591573242194155,1.127802395813844e8,851842.8179216592,774563.9552755181
1.090989702109182,1.5399701023183024e8,1.0328636732430888e6,1.1607003248504873e6
1.2126474604743085,1.4174413089440164e8,1.6078842959730215e6,1.0600617471321966e6
1.0524496419803708,1.1816525961527e8,1.5080692429853198e6,1.4859392608672422e6
1.0910142479407676,1.1369733334586799e8,1.2256586563675525e6,1.2794325211809906e6
1.1669205253972994,1.140771826526111e8,1.3735949167428538e6,1.7439025681757121e6
1.2071911300889633,1.0722924336453258e8,1.2012772365103534e6,1.2501646710143173e6
0.9911701227592837,1.3155218254722725e8,1.9916445897835335e6,1.2126727648740215e6
1.117799326996671,1.9710829476964504e8,1.11858540154464e6,1.5426721167800985e6
1.3841079091182438,1.1236090452361956e8,1.1222974681719083e6,890089.6276755809
1.172237822988473,1.347194294128099e8,1.0758699909743583e6,1.1055022069946316e6
1.1425135001169937,1.457733608260641e8,1.1162008012894266e6,1.3018895027412667e6
1.1909604014898432,1.2382966444812064e8,1.3078675431681776e6,1.1228703804041145e6
1.2310846571158462,1.523937071731836e8,1.1382832821365022e6,1.0103139676206708e6
1.1508950917710896,1.3289026152712066e8,1.393578369123443e6,964948.1432522893
1.1455257433799881,1.1146900433207057e8,935911.109493895,974127.34418912
1.2845349623419575,1.6055000228805497e8,1.0099425036924749e6,1.3448101634874067e6
1.1744255042657978,1.1773469920619066e8,1.1312795338047277e6,695380.6679241757
1.4549412399793422,1.5358264846289176e8,714685.7838772712,929495.4775474671
1.3228434883548807,1.3420122183625522e8,862703.7548243069,1.0625852433631574e6
1.2147785714746568,1.4019731301414904e8,1.0714768006117856e6,1.0835298059495515e6
1.174949071964472,1.3247887086192694e8,1.3077007229119777e6,795011.025459632
1.2668954932847103,1.4801920260457936e8,1.1187980186044313e6,809739.9804408108
1.1707263409014328,1.3361310853146571e8,981305.740836757,1.1161767806222814e6
1.352465718927177,1.4637568825634804e8,1.503540072725311e6,839048.8950620801
1.2611076401243582,1.1750908798567416e8,1.0014757971309973e6,1.263628158900643e6
1.1483492413378305,1.2892390355394074e8,921862.1294501586,886936.6152522683
1.0687729068115244,1.6435441943810904e8,2.4040373740808414e6,1.7193134765184112e6
1.179794743938614,1.6966896951149794e8,1.1057103003298515e6,1.1749960885706306e6
1.1468790938997757,1.6548756641663894e8,995348.4581718699,1.0852026921037855e6
1.1468790938997757,1.6548756641663894e8,995348.4581718699,1.0852026921037855e6
1.1999970878867747,1.19891552282288e8,1.4493022707095626e6,982234.3610959251
1.2968418635360892,1.402819326921661e8,784201.3307615651,933946.0025748576
1.271483254060847,1.2772159296767464e8,954519.5121250104,812400.4642940008
1.3156885622183647,1.2072432667168337e8,822955.2104170779,803108.6593745428
1.3784064602214348,1.42770312667764e8,773332.2041591558,851839.982670952
1.2304485941343442,1.1187252835670125e8,1.0437673837575787e6,808952.5107355614
1.1841171146241187,1.4716736948146275e8,1.1145902968579882e6,1.2195216062468467e6
1.1526957569410246,1.48893790268122e8,1.0275738895331403e6,1.0979600058097271e6
1.2316640790341211,1.4227177129104877e8,1.3063616604558013e6,944515.0978937558
1.195952343164053,1.2773735384453887e8,1.2544815486748177e6,1.0290087906801724e6
1.1944710496727846,1.4586807065240428e8,969482.8980005698,880746.862348737
1.323903490970379,1.44041390733145e8,1.036466126295932e6,639207.784999927
1.2225524212019752,1.2057747394259313e8,1.060026241935921e6,1.4056091112510457e6
1.2038024541151149,1.228788118024587e8,1.2282156406417284e6,959346.243287549
1.2501068654088232,1.1985074564877121e8,1.2146382411301862e6,1.146424959464361e6
1.2807653679256459,1.3817197952639598e8,1.1299587240456047e6,1.1738209844393786e6
1.3052752998272927,1.3878633198136547e8,1.1260868874539058e6,936799.612933991
1.2943575340032156,1.350691217440469e8,1.2283789741837643e6,1.196551562887007e6
1.2097747589312629,1.4675941607468632e8,1.2495881934023602e6,1.1646257699611161e6
1.1131940671688019,1.6060330284360865e8,1.0951823901672852e6,868565.8132714652
1.2806052895141296,1.171424945534669e8,952568.2564614841,937016.3283131936
1.3597677734967608,1.0909795948546101e8,921493.1353454152,722538.4473539818
1.4619530187541427,1.2413666760990067e8,560137.6844353974,1.0342260294180672e6
1.1693059766496514,1.3862649301873782e8,1.357964152282705e6,979560.5343959446
1.099079798596578,1.276776886673691e8,1.3464954809997296e6,1.299498689932936e6
1.2070170203108157,1.4368631145799762e8,1.1370602126320854e6,1.095793788845642e6
1.1651846650281263,1.3415986823809859e8,1.5340575611475776e6,1.2495381741883424e6
