emerg,pop
5.54,7.999999999999999
3.56,4.89
11.51,4.710000000000001
14.0,4.859999999999999
14.0,5.209999999999999
14.0,4.879999999999999
5.01,4.819999999999999
4.54,4.949999999999999
14.0,4.7299999999999995
4.67,4.89
14.0,4.760000000000001
5.01,8.63
14.0,4.789999999999999
14.0,4.77
14.0,4.960000000000001
14.0,4.84
14.0,4.890000000000001
14.0,4.67
14.0,4.76
14.0,4.819999999999999
14.0,4.840000000000001
14.0,5.25
14.0,4.77
8.72,4.720000000000001
14.0,4.82
14.0,4.53
5.55,4.709999999999999
14.0,4.7
14.0,4.820000000000001
14.0,4.81
14.0,4.840000000000001
14.0,4.7700000000000005
14.0,4.829999999999999
14.0,5.279999999999999
14.0,4.78
14.0,5.0
14.0,4.790000000000001
14.0,4.93
14.0,5.2
14.0,4.9799999999999995
1.83,4.57
14.0,4.63
14.0,4.779999999999999
14.0,5.1000000000000005
14.0,4.790000000000001
14.0,4.63
4.3,4.72
14.0,4.71
5.87,4.75
14.0,4.8500000000000005
4.38,4.700000000000001
14.0,4.78
14.0,5.03
14.0,5.129999999999999
14.0,4.91
14.0,4.84
11.64,4.71
14.0,4.739999999999999
14.0,4.99
14.0,4.890000000000001
14.0,4.999999999999999
14.0,4.860000000000001
10.27,4.700000000000001
14.0,4.71
14.0,4.8500000000000005
14.0,5.0200000000000005
9.95,4.88
14.0,4.8500000000000005
14.0,5.28
14.0,4.749999999999999
14.0,4.779999999999999
14.0,4.78
14.0,4.9399999999999995
14.0,4.6
14.0,5.140000000000001
8.43,4.8999999999999995
14.0,4.84
14.0,4.94
14.0,4.77
14.0,4.87
14.0,4.74
14.0,4.61
14.0,4.7700000000000005
14.0,5.04
14.0,5.050000000000001
14.0,4.8
14.0,4.739999999999999
14.0,4.97
14.0,4.94
14.0,4.81
14.0,4.620000000000001
14.0,4.7299999999999995
14.0,4.83
14.0,5.1000000000000005
7.28,6.37
14.0,5.0200000000000005
14.0,4.9
7.3,4.61
14.0,4.75
14.0,4.8
14.0,4.77
14.0,5.090000000000001
14.0,4.829999999999999
7.46,5.500000000000001
5.14,6.3999999999999995
14.0,5.039999999999999
14.0,4.670000000000001
4.6,4.680000000000001
14.0,4.669999999999999
14.0,4.73
14.0,4.8500000000000005
14.0,4.64
10.38,5.050000000000001
6.55,7.21
6.87,4.99
14.0,4.79
14.0,4.890000000000001
14.0,4.9799999999999995
14.0,4.909999999999999
14.0,5.14
14.0,4.710000000000001
3.61,5.0
14.0,4.890000000000001
14.0,4.959999999999999
3.39,7.639999999999999
14.0,4.78
14.0,4.709999999999999
14.0,4.919999999999999
14.0,4.880000000000001
14.0,4.800000000000001
4.65,9.16
14.0,4.68
14.0,4.739999999999999
14.0,4.83
13.8,4.8999999999999995
14.0,5.1499999999999995
14.0,4.640000000000001
14.0,4.7299999999999995
14.0,4.680000000000001
14.0,4.87
14.0,4.890000000000001
6.87,4.89
14.0,5.14
14.0,4.859999999999999
14.0,5.04
14.0,4.799999999999999
10.45,4.66
14.0,4.930000000000001
11.44,4.8100000000000005
14.0,4.859999999999999
14.0,5.069999999999999
5.85,4.619999999999999
9.79,4.95
14.0,5.290000000000001
14.0,5.140000000000001
14.0,4.700000000000001
2.6,4.800000000000001
14.0,5.02
14.0,4.98
14.0,4.69
14.0,4.829999999999999
6.2,5.05
14.0,4.700000000000001
14.0,5.04
14.0,4.72
7.39,5.660000000000001
7.68,5.57
14.0,4.82
14.0,5.079999999999999
14.0,4.98
14.0,5.05
14.0,5.039999999999999
14.0,4.779999999999999
14.0,5.01
14.0,4.489999999999999
3.72,10.12
11.44,4.89
14.0,4.97
14.0,4.74
7.89,4.949999999999999
14.0,4.750000000000001
14.0,5.300000000000001
5.72,4.74
14.0,4.64
14.0,4.879999999999999
14.0,4.819999999999999
14.0,4.53
14.0,5.04
14.0,4.540000000000001
14.0,4.85
6.97,4.73
14.0,4.73
14.0,4.84
14.0,4.9
14.0,4.740000000000001
14.0,4.8999999999999995
14.0,4.8999999999999995
14.0,4.84
14.0,5.18
14.0,4.859999999999999
14.0,5.379999999999999
10.74,5.07
14.0,4.720000000000001
14.0,4.94
9.04,4.950000000000001
14.0,4.77
14.0,4.919999999999999
14.0,4.74
14.0,4.580000000000001
14.0,4.99
5.73,5.319999999999999
14.0,4.78
14.0,4.77
14.0,4.78
14.0,4.880000000000001
14.0,4.93
14.0,4.920000000000001
14.0,4.67
14.0,4.67
14.0,5.01
14.0,4.82
3.12,4.65
14.0,4.77
14.0,4.56
10.82,4.57
14.0,4.6
12.49,5.079999999999999
14.0,4.81
11.85,5.12
14.0,4.879999999999999
14.0,4.720000000000001
14.0,5.029999999999999
14.0,4.9799999999999995
14.0,5.07
14.0,5.13
5.74,4.76
14.0,4.9
14.0,4.77
14.0,5.2
14.0,4.66
14.0,4.670000000000001
14.0,4.93
8.66,5.22
14.0,4.859999999999999
14.0,4.780000000000001
14.0,4.6
14.0,5.140000000000001
14.0,4.68
14.0,4.880000000000001
14.0,4.75
14.0,4.84
14.0,4.95
14.0,4.830000000000001
5.44,4.859999999999999
14.0,5.0600000000000005
14.0,4.760000000000001
6.12,4.909999999999999
9.58,4.789999999999999
14.0,4.6
14.0,4.7700000000000005
14.0,4.77
14.0,4.620000000000001
14.0,4.94
14.0,4.8999999999999995
5.28,6.71
14.0,4.619999999999999
7.28,6.06
14.0,4.87
14.0,4.829999999999999
14.0,4.97
13.48,4.78
6.15,7.029999999999999
14.0,4.98
14.0,4.71
14.0,4.72
14.0,4.7
6.75,4.54
14.0,4.8
14.0,5.0
14.0,4.699999999999999
9.21,4.8500000000000005
14.0,4.7
5.92,4.739999999999999
14.0,4.780000000000001
14.0,4.760000000000001
2.22,4.700000000000001
14.0,4.96
14.0,5.090000000000001
14.0,5.119999999999999
5.09,5.19
14.0,4.680000000000001
5.74,4.99
14.0,4.909999999999999
14.0,5.070000000000001
5.42,4.78
14.0,4.76
14.0,4.89
4.81,4.6499999999999995
14.0,4.58
14.0,4.970000000000001
14.0,4.8999999999999995
14.0,4.880000000000001
14.0,4.77
14.0,4.72
14.0,4.77
14.0,4.760000000000001
14.0,4.85
14.0,4.92
14.0,4.8
14.0,4.780000000000001
2.72,4.43
14.0,4.59
14.0,4.9
7.11,5.249999999999999
3.2,8.989999999999998
14.0,4.81
14.0,4.8500000000000005
9.22,4.79
14.0,4.800000000000001
14.0,4.760000000000001
14.0,4.94
