parameters,ess,rhat,ess_per_sec
μ,4918.1138467928895,1.0003075225266918,0.20304196921516104
Kr,5075.976211098416,1.0003994214210055,0.2095592411433936
ϵ,4832.542485001754,1.000274802640073,0.19950919662230512
ϕlog,5196.46961164558,1.001021751191159,0.21453375334190264
η,5839.304668697367,1.0019300358972587,0.241072890078123
β,5217.741410952155,1.0006399754030975,0.21541194936470784
N0_rep1,5613.998185032585,1.0004750523278978,0.23177122005881826
N0_rep2,5823.095280496301,1.0003828690500587,0.24040369326758887
V0_rep1,5191.187591867864,1.0005428348019534,0.21431568769102305
V0_rep2,3617.0788307315215,1.001317390111638,0.14932936314134249
σ_N,5478.862093081132,1.0006003882043535,0.22619219137493438
σ_V,6474.41472251245,1.001400180731176,0.2672931037641182
