parameters,ess,rhat,ess_per_sec
μ,828.837701674071,1.0072166269784095,0.027569579725534532
Kr,966.6555404502296,1.008175669715548,0.03215380639146183
ϵ,1222.4133149982881,1.0027001774267705,0.04066106220473653
ϕlog,1055.7154187658602,1.0018619227293186,0.035116199886122995
η,1291.1691611550389,1.0030938339838054,0.04294808387180898
β,1531.4797528090483,1.0055271564190211,0.05094152094895207
N0_rep1,1956.456793246035,1.0041360172724965,0.06507750725143877
N0_rep2,1331.4432378301476,1.0019132498323333,0.04428771811567127
V0_rep1,2219.5178115789295,1.0024031803943247,0.0738276904332132
V0_rep2,1642.8166999786358,1.0039151245819666,0.05464491527475292
σ_N,2324.8792691134217,1.0002876780093937,0.07733232239870982
σ_V,2181.5714260975155,1.0013890916613133,0.0725654820446316
data_virus_rep2[12],1705.3283913190683,1.0050752444247018,0.05672423798739874
