parameters,ess,rhat,ess_per_sec
μ,1218.8850312440686,1.0040681151304636,0.08503646351993252
Kr,2591.414966485909,1.0027310123783326,0.18079208343191186
ϵ,1183.0677666854838,1.0028398198256738,0.08253764416212059
ϕlog,2470.0189673718514,1.002814566043727,0.17232279700578196
η,2209.4361361165425,1.0025792157455478,0.1541430328311855
β,2129.545407923415,1.001115923551436,0.14856939395677768
N0_rep1,2542.117643024595,1.0012203267115374,0.17735281726595553
N0_rep2,3588.5945541829706,1.0020588490712936,0.25036109400994305
V0_rep1,2632.0460643283113,1.0022687770245047,0.18362674361797038
V0_rep2,3132.8742699970453,1.0002039191627845,0.21856741345098488
σ_N,2931.117358362169,1.00145746117459,0.20449168537462786
σ_V,2699.585326662346,1.0012831724703084,0.18833867285691533
