parameters,ess,rhat,ess_per_sec
μ,2728.3047352124227,1.0009580027660847,0.07993500952542579
Kr,665.8299495940165,1.0041662773713724,0.019507763438664266
ϵ,676.463296083299,1.004236392346094,0.01981930365700493
ϕlog,704.6221573479453,1.0048926543416206,0.02064431371338318
η,622.5770225772935,1.0059541050619474,0.018240521151370755
β,1021.2343033467932,1.0055427597880926,0.029920548358159004
N0_rep1,2534.103111358034,1.0008698992772542,0.07424520938972172
N0_rep2,2789.9358959008773,1.0005857887100293,0.0817407049644696
V0_rep1,4940.9727985329955,1.0006018649027002,0.14476268087584207
V0_rep2,3046.7435483659274,1.0000556777479894,0.08926476262601148
σ_N,666.222414664206,1.0055060069226462,0.019519262043904032
σ_V,2920.1416468293123,1.0000609147032722,0.08555552733617923
