TIME;REPLICATE_1;REPLICATE_2
0;949444.4444;867592.5926
0.998611111;3181975.138;2957241.911
2.000694444;8057665.746;8898305.085
2.99375;17551795.58;53400862.88
3.999305556;32329074.59;41307955.98
5;43351174.03;54041132.96
5.997916667;58506560.77;70057730.47
7.004861111;67481008.29;91223164.35
8.001388889;86089433.7;101585783.9
8.997222222;101533465.6;113259967.5
10.01111111;137688353.1;144610884.6
10.99861111;130739230.6;125651480.2
12.00833333;120829640.1;127867399.4
13.01111111;115511434.1;122496011.3
