TIME;REPLICATE_1;REPLICATE_2
0;458426.9663;1186516.854
0.247222222;8175280.899;8566292.135
0.495833333;6977528.09;3950561.798
0.746527778;7624719.101;6984269.663
1.014583333;7146067.416;9000000
1.249305556;62164044.94;61597752.81
1.494444444;544325842.7;418640449.4
1.746527778;1022292135;902292134.8
2.018055556;611525795.8;727969264.5
4.024305556;561800219.5;603819978
5.022222222;521240395.2;502085620.2
6.01875;537486278.8;648463227.2
7.029861111;621701427;642140504.9
8.024305556;539297475.3;545554335.9
9.022222222;621295279.9;649945115.3
10.02291667;582766191;615916575.2
11.02361111;612917115.2;776533907.4
12.02083333;792249730.9;818514531.8
13.02013889;1005812702;1009903122
