TIME;REPLICATE_1;REPLICATE_2
0;4355056.18;3635955.056
0.240277778;6076404.494;6161797.753
0.489583333;4786516.854;5105617.978
0.736111111;5815730.337;6323595.506
1.004166667;7272271.016;6188205.772
1.242361111;6504391.468;6072772.898
1.488888889;5415307.403;4848180.678
1.741666667;5641154.329;4762860.728
2.014583333;5604829.857;6566410.538
3.0125;6928649.835;6362239.297
4.01875;;
5.016666667;9584772.727;11173409.09
6.014583333;47159090.91;
7.025694444;13863636.36;14545454.55
8.020833333;5454545.455;10227272.73
9.020833333;8181818.182;7272727.273
10.01805556;21528525.3;22066738.43
11.00972222;17222820.24;25834230.36
12.01944444;21528525.3;18837459.63
13.01388889;27448869.75;31754574.81
