TIME;REPLICATE_1;REPLICATE_2
0;8983688.833;6971141.782
0.236111111;6524466.75;7026348.808
0.484027778;8466750.314;8627352.572
0.727083333;13340025.09;14414052.7
1.006944444;31417816.81;33997490.59
1.236805556;157340025.1;154742785.4
1.482638889;114855708.9;113751568.4
1.7375;171367628.6;178393977.4
2.010416667;425863636.4;467136363.6
3.009027778;510045454.5;431772727.3
4.016666667;215340909.1;355681818.2
5.014583333;486420454.5;669715909.1
6.009722222;416113636.4;305659090.9
7.024305556;459090909.1;423295454.5
8.01875;559090909.1;540000000
9.022222222;662045454.5;653522727.3
10.01388889;492249730.9;617330462.9
11.01041667;727018299.2;770721205.6
12.01875;484930032.3;493003229.3
13.01111111;493864370.3;402583423
