TIME;REPLICATE_1;REPLICATE_2
0;5350062.735;8276035.132
0.222916667;5058971.142;5490589.711
0.477083333;11784851.81;10458836.44
0.711805556;16548847.42;23552140.5
0.998611111;137756311.7;137822173.4
1.225694444;334603732.2;313018660.8
1.472916667;245510428.1;379626783.8
1.727777778;351789242.6;373545554.3
2.000694444;209090909.1;505500000
3.000694444;136875000;139659090.9
4.008333333;234272727.3;204545454.5
5.00625;267454545.5;275727272.7
6;284545454.5;344090909.1
7.014583333;254090909.1;246727272.7
8.009027778;325090909.1;198454545.5
9.013888889;270681818.2;230454545.5
10.00486111;284499461.8;169106566.2
11.00069444;292895586.7;341011840.7
12.00833333;454036598.5;515177610.3
13.00208333;468675995.7;509580193.8
