c,σ
1.6391614203034017e-8,8.696154805669883e-9
1.2474306244464204e-8,4.9167765365033904e-9
1.2474306244464204e-8,4.9167765365033904e-9
1.2474306244464204e-8,4.9167765365033904e-9
1.0780049044073669e-8,1.2224002846989687e-8
1.1517978782734453e-8,6.5379162114557e-9
1.2308862834561623e-8,4.365244379127004e-9
1.0083734376728796e-8,8.663399487718996e-9
8.4756852443312e-9,1.3813903215070466e-8
1.9719229389511575e-8,1.3130536057475268e-8
1.463123821103269e-8,8.901416733055233e-9
1.463123821103269e-8,8.901416733055233e-9
1.3187650886763029e-8,7.732239450288337e-9
1.5825520896920433e-8,9.15788389438538e-9
1.6383532214018732e-8,6.963178794672388e-9
1.8078218298951026e-8,1.2286163323206751e-8
1.74377256955222e-8,1.4842668961594841e-8
1.6462987369233784e-8,1.0829019573960204e-8
1.3037667351239834e-8,7.292983379518638e-9
1.3082398554111086e-8,5.5222904084476206e-9
1.069671419171334e-8,4.365963129258851e-9
1.7594527856719405e-8,1.0602522872987803e-8
1.8521167978156464e-8,1.920578243801633e-8
1.7807298899970413e-8,1.3528599354499251e-8
1.8812663302664132e-8,2.3203741483592438e-8
2.2799149456580142e-8,1.5616577988273555e-8
1.0311151410174833e-8,9.217942727668988e-9
1.6228981034248553e-8,7.53604847467613e-9
8.380327432614519e-9,7.902671953073444e-9
1.127129076095887e-8,1.397848415537593e-8
1.282127449015491e-8,1.399495231909331e-8
9.432770086684776e-9,7.129742278582706e-9
1.4347946540309735e-8,9.658009907742079e-9
1.1067176951990898e-8,5.466690965604525e-9
1.1203671114550544e-8,6.046388682314709e-9
1.1818140702991304e-8,1.0748392967144147e-8
1.2667879489956194e-8,9.316302713430532e-9
1.3707943664230637e-8,1.1042017137473756e-8
8.846700835309537e-9,7.530785426380038e-9
8.42109531155198e-9,6.5416775200549755e-9
9.560772295039863e-9,1.356844568648652e-8
1.498444270680014e-8,5.272001006802835e-9
1.498444270680014e-8,5.272001006802835e-9
1.498444270680014e-8,5.272001006802835e-9
1.498444270680014e-8,5.272001006802835e-9
1.498444270680014e-8,5.272001006802835e-9
1.493591080572203e-8,9.639334650479948e-9
1.4917879029284556e-8,1.0364535163715603e-8
1.521725087991364e-8,6.466626149611686e-9
1.521725087991364e-8,6.466626149611686e-9
1.6853981817949966e-8,6.248537403729435e-9
1.5345882016019063e-8,1.1463373537126339e-8
1.919485682747826e-8,9.769173709954616e-9
6.3433084212534314e-9,8.164711605819028e-9
1.1728072255192017e-8,2.199056578897368e-8
8.642590523529753e-9,2.803479155601114e-8
8.701744399422822e-9,2.9187619446305975e-8
7.791862419457039e-9,1.0725548013118566e-8
9.677228227355544e-9,8.818647371316944e-9
9.033667644792497e-9,9.615982209317707e-9
1.3979399758904169e-8,1.064003184758854e-8
1.392715618111505e-8,4.72733567495543e-9
1.4973672018356905e-8,9.377642082783016e-9
1.3968608001462025e-8,1.0495989960011299e-8
1.7941416966030848e-8,7.0023873800593595e-9
1.7941416966030848e-8,7.0023873800593595e-9
1.927116462356292e-8,7.315768451227411e-9
9.218014621983074e-9,7.71122015762138e-9
8.16859593938222e-9,7.95073765673629e-9
8.224571142105778e-9,7.916053393447735e-9
9.660836524329093e-9,1.839857440168007e-8
1.2194921840290205e-8,1.5896767991782625e-8
1.024347992117161e-8,1.4062336932968157e-8
8.161949118944634e-9,1.2005562341611201e-8
1.2673764330339002e-8,8.54425302303857e-9
1.4186725676892433e-8,5.694714281595155e-9
1.4769073659840975e-8,8.90728873954783e-9
1.909361041504429e-8,9.299135579301415e-9
1.6421824679657477e-8,9.61192960778147e-9
