c,σ
3.852432652865318e-9,4.4644090022433345e-9
5.452431141597674e-9,3.8326036984586785e-9
5.0292686916053405e-9,6.0286451811354695e-9
5.023692274656267e-9,6.662261814068484e-9
5.204921610190055e-9,6.515297259425872e-9
3.4145086221388373e-9,2.614351162930169e-9
5.225058750040441e-9,4.671381201046601e-9
6.141744641479393e-9,4.423276274132254e-9
5.787329718584044e-9,5.040949862010574e-9
3.6344119464509996e-9,2.657216476544202e-9
3.740125407080427e-9,3.3845881761714483e-9
4.537002711737576e-9,4.2997500673652485e-9
5.366600793082343e-9,3.6412918999561476e-9
5.039750397360029e-9,4.703431662078677e-9
2.4361645473325743e-9,3.259881008275242e-9
2.557516357482944e-9,5.057653073011192e-9
4.0949546027405784e-9,4.1623727494457005e-9
2.8822247190164425e-9,1.915537018292031e-9
2.8822247190164425e-9,1.915537018292031e-9
2.8822247190164425e-9,1.915537018292031e-9
2.8822247190164425e-9,1.915537018292031e-9
2.418064783806e-9,2.8447418897460892e-9
5.293321423897401e-9,2.8860254004653528e-9
2.9791380276046142e-9,3.824465935706761e-9
4.739193419542764e-9,2.442444062254403e-9
4.739193419542764e-9,2.442444062254403e-9
3.861789545869195e-9,3.1835332130869405e-9
3.461201454215977e-9,1.5879315088340867e-9
2.243285031366326e-9,3.913152710719796e-9
2.4883762012740774e-9,2.988096858226221e-9
2.7906288424083687e-9,2.3121003950308395e-9
3.0207598158358175e-9,3.812188023462915e-9
4.1484378983079036e-9,2.840820576504695e-9
3.0219290981904666e-9,2.6158689770534193e-9
2.671699181935434e-9,2.0251179607236442e-9
2.3365036677666284e-9,1.6772366744635664e-9
1.6435370954832686e-9,1.5593295420426911e-9
2.5193385990485567e-9,1.4037560644668925e-9
2.265044931737082e-9,1.7026659665169713e-9
2.3531888913202212e-9,2.1536636701894978e-9
4.301471683540315e-9,1.8144557855595884e-9
2.915400526048725e-9,4.755070359952653e-9
2.2461972139386872e-9,4.360109162810462e-9
3.0087924801157108e-9,5.4526398862843084e-9
2.5631655067944563e-9,4.162518000339063e-9
2.953745229360807e-9,4.960178219612806e-9
4.328175661494117e-9,2.324170455773932e-9
4.328175661494117e-9,2.324170455773932e-9
3.0754221242552078e-9,2.2153534467170306e-9
5.310484834331499e-9,5.283263377334948e-9
4.088184035986671e-9,3.76789426792058e-9
2.086635458697335e-9,1.7033384436775872e-9
3.229494837317941e-9,2.735755711327155e-9
6.13733623629253e-9,3.942130967757388e-9
1.861804609764325e-9,2.3260236344788373e-9
3.6932451891360526e-9,2.515580257572675e-9
5.273288368967414e-9,3.96391690550526e-9
5.273288368967414e-9,3.96391690550526e-9
3.1468943178383685e-9,3.2647798445996533e-9
2.7403914432582012e-9,2.8174886713042074e-9
7.74096817693233e-9,6.252935196263651e-9
2.75632612670074e-9,3.2813575733343635e-9
2.5146367673045627e-9,2.0999094124345266e-9
3.1689726043046405e-9,3.2315020475367154e-9
3.1689726043046405e-9,3.2315020475367154e-9
2.8273384765019542e-9,4.359495879805994e-9
2.872627175372226e-9,1.5145012453079134e-9
2.697886326648086e-9,1.7158258702010432e-9
2.697886326648086e-9,1.7158258702010432e-9
2.697886326648086e-9,1.7158258702010432e-9
2.7685188473256576e-9,1.9899612262939475e-9
2.487937884718194e-9,3.62505180356903e-9
6.4874954308157505e-9,5.775356985267501e-9
2.9419892664053505e-9,2.9037706462311654e-9
2.9419892664053505e-9,2.9037706462311654e-9
3.4188401664131533e-9,2.424227355312545e-9
3.4188401664131533e-9,2.424227355312545e-9
3.4188401664131533e-9,2.424227355312545e-9
5.4113522431978575e-9,3.1238744472506643e-9
4.291653099998833e-9,2.5838228113718e-9
4.291653099998833e-9,2.5838228113718e-9
3.8731737839905745e-9,3.4421715062017477e-9
4.168491789186107e-9,3.532956164488904e-9
4.864997120709054e-9,2.706745700801494e-9
3.1477023022931267e-9,2.5185273364735145e-9
3.0163402072771173e-9,3.1911524878386054e-9
3.076141534827108e-9,4.764424827631431e-9
5.000341413181899e-9,4.041596579606048e-9
3.140438023253832e-9,3.0360206269794492e-9
3.3208261960320543e-9,1.7990113769017298e-9
3.3208261960320543e-9,1.7990113769017298e-9
3.196163656104633e-9,4.510216174643917e-9
3.837422816601021e-9,3.261236261486853e-9
6.4414277791274285e-9,4.3832501478452216e-9
7.50561937793161e-9,5.498124317313241e-9
3.3743926213618318e-9,4.90351112998192e-9
3.4898462152125243e-9,4.210436368542806e-9
2.8897251610606127e-9,2.558412572035447e-9
2.8897251610606127e-9,2.558412572035447e-9
2.8897251610606127e-9,2.558412572035447e-9
2.8897251610606127e-9,2.558412572035447e-9
4.768991400874274e-9,4.366810039634717e-9
4.212140961055322e-9,4.385953698719363e-9
4.212140961055322e-9,4.385953698719363e-9
4.2036817214243594e-9,3.5079068895296628e-9
3.2670704169914483e-9,3.0769938360849247e-9
3.540412766764817e-9,2.0104412122735466e-9
5.52705877824534e-9,3.4337957802653174e-9
4.859607836038358e-9,6.386945318865399e-9
4.859607836038358e-9,6.386945318865399e-9
3.9197725025611985e-9,3.3177268679242976e-9
4.81261854563054e-9,6.1361281486181185e-9
3.2587228901990465e-9,3.8225845707852774e-9
3.2587228901990465e-9,3.8225845707852774e-9
3.92254731338912e-9,2.6132905514330908e-9
4.464035610252162e-9,7.144456679003315e-9
6.473409295145934e-9,3.4718155049646606e-9
6.473409295145934e-9,3.4718155049646606e-9
5.528812883929383e-9,4.272210351611434e-9
5.528812883929383e-9,4.272210351611434e-9
5.528812883929383e-9,4.272210351611434e-9
4.873630605512809e-9,5.6266041262687715e-9
7.546447227513771e-9,6.971623580006242e-9
3.77458438602844e-9,2.8562900097481546e-9
5.651632297624024e-9,4.806266905220358e-9
2.758401973604492e-9,2.0476038510459035e-9
3.7637029307898456e-9,3.443573378618416e-9
3.007992921514734e-9,2.745917853246763e-9
3.007992921514734e-9,2.745917853246763e-9
3.73910836385428e-9,1.9197805853116727e-9
3.6633623437657804e-9,2.5707949616441535e-9
4.040473282411012e-9,2.4232714361005323e-9
4.040473282411012e-9,2.4232714361005323e-9
3.339935998935926e-9,2.454257780412597e-9
3.339935998935926e-9,2.454257780412597e-9
3.81145828641642e-9,2.431673239612201e-9
3.81145828641642e-9,2.431673239612201e-9
3.4448467200033447e-9,2.6240008669614265e-9
3.321664359187468e-9,2.465067075931851e-9
3.9382897475399566e-9,2.0563724982136927e-9
3.9382897475399566e-9,2.0563724982136927e-9
2.76348009661989e-9,1.899404844589888e-9
1.9628621896321706e-9,2.2295419521134845e-9
