c,σ
2.0702594738888383e-8,1.843637844211984e-8
6.316394812497142e-8,2.3467145680138907e-8
1.8339924325803752e-8,1.77765520442285e-8
5.279701222803832e-8,3.61092183677628e-8
5.6527035667141726e-8,3.603650106166466e-8
2.7576655018966095e-8,1.7566899029682114e-8
2.7576655018966095e-8,1.7566899029682114e-8
2.2239585690926287e-8,3.040232558733509e-8
3.766757933678792e-8,1.7301825008501437e-8
3.8761646176805687e-8,2.1460164091667068e-8
2.27878490598394e-8,2.79226231626415e-8
2.9015343277499642e-8,2.0885072732927102e-8
4.730253071527156e-8,1.5794365430897005e-8
2.9036623403706232e-8,1.3057859343730511e-8
2.946300094175246e-8,2.1703786913437877e-8
4.355701258420822e-8,4.735506924300833e-8
4.830030670346153e-8,3.2264089777112815e-8
4.086621302472342e-8,5.177806053761378e-8
3.697223468389697e-8,1.2358665837038647e-8
3.4274815855969494e-8,3.244621019675194e-8
3.4274815855969494e-8,3.244621019675194e-8
4.412656901576333e-8,1.7476343915016874e-8
3.7611783340515464e-8,1.1369012112823566e-8
3.7611783340515464e-8,1.1369012112823566e-8
3.675700058852882e-8,4.256320316804184e-8
4.2796786976012746e-8,2.689574224042197e-8
2.8926858314951363e-8,1.8787708528337465e-8
3.564274169789683e-8,2.2113238115515072e-8
3.564274169789683e-8,2.2113238115515072e-8
3.941977965099397e-8,9.566269559112708e-9
3.265758601991188e-8,3.413394227887589e-8
2.220853333779334e-8,2.551529425653575e-8
2.220853333779334e-8,2.551529425653575e-8
4.3072753599798015e-8,2.2949984153437188e-8
4.3072753599798015e-8,2.2949984153437188e-8
4.04939170502657e-8,2.1782731146821363e-8
3.9604215157649747e-8,2.3738040548511293e-8
3.62563021178638e-8,1.528287454417767e-8
3.62563021178638e-8,1.528287454417767e-8
3.62563021178638e-8,1.528287454417767e-8
3.62563021178638e-8,1.528287454417767e-8
3.194657343466978e-8,1.0733889914618598e-8
3.194657343466978e-8,1.0733889914618598e-8
3.194657343466978e-8,1.0733889914618598e-8
4.874346469850949e-8,4.372847598436725e-8
4.69555837903353e-8,4.234730099871994e-8
3.714688597014956e-8,3.301779402474636e-8
4.1031034514981457e-8,5.887218944750371e-8
3.062969560482828e-8,2.8455036659161388e-8
1.1211939056438464e-8,2.465664596802063e-8
1.3049737289054442e-8,2.5497293987885905e-8
1.191537401064691e-8,2.8617222725145315e-8
1.3248180538873826e-8,3.632259195002095e-8
1.101703133960239e-8,3.595992294431656e-8
8.284388576547982e-8,4.6903540145606214e-8
7.182665150393971e-8,4.997812560099121e-8
2.2590821315761633e-8,1.3920093975218638e-8
5.286877760675526e-8,4.977815409556025e-8
3.2790940449673036e-8,5.123340847437799e-8
6.952213188032938e-8,2.9767184301775694e-8
1.481534340799884e-8,2.1203332340789712e-8
1.2588726970820757e-8,1.7577228501016553e-8
3.259475562827615e-8,6.341348461886019e-8
2.6215529464818783e-8,2.7657330773372706e-8
3.192106984850763e-8,1.7007245404855696e-8
