c,σ
5.006153452750852e-8,2.6065810171361104e-8
5.006153452750852e-8,2.6065810171361104e-8
4.4642107148059686e-8,1.626073105479688e-8
4.4642107148059686e-8,1.626073105479688e-8
3.433195176090202e-8,2.4527543063070083e-8
3.5736826542647166e-8,4.3187062288552925e-8
3.183778312700299e-8,1.705748895699963e-8
3.183778312700299e-8,1.705748895699963e-8
3.584821494706051e-8,1.760386751067402e-8
3.584821494706051e-8,1.760386751067402e-8
2.5931274750391547e-8,2.8933379074901463e-8
4.277139192296134e-8,1.7187467699195036e-8
3.877264493763733e-8,1.5770355753860047e-8
4.338188662043352e-8,2.979509681886855e-8
5.192443099809846e-8,2.0497808144229578e-8
3.4586746034201896e-8,2.2816063439641497e-8
3.757257385944659e-8,2.543145793734752e-8
3.757257385944659e-8,2.543145793734752e-8
2.1446643180879606e-8,2.0894555886167272e-8
2.2688879526323175e-8,3.9191212373665585e-8
1.407475749273872e-8,2.3073088734255413e-8
1.6454243492284026e-8,4.614030130845846e-8
1.649012355443541e-8,5.07385803942593e-8
1.512908823297922e-8,3.650390428167104e-8
1.5437605877221683e-8,3.3000697991228744e-8
6.139006215742972e-8,2.8557669482079756e-8
4.611380500226287e-8,3.0538668787653965e-8
4.4565567812620064e-8,1.654396237199756e-8
4.4565567812620064e-8,1.654396237199756e-8
3.747551272885249e-8,1.737152447408831e-8
3.1917711001175065e-8,1.4950647881497728e-8
3.1917711001175065e-8,1.4950647881497728e-8
2.9546421283044543e-8,3.2440577608922205e-8
2.3884600973652468e-8,1.8926261037686525e-8
3.4865944426419935e-8,3.4114863983741673e-8
3.5917071478887536e-8,1.5006023459802253e-8
3.066845871568447e-8,1.9323610295538537e-8
2.913182357154548e-8,1.980996450259901e-8
2.6973162629499274e-8,1.712187803507022e-8
3.0787506973880385e-8,2.4379013400631887e-8
2.8462817040758024e-8,2.6834724271880437e-8
4.823168069481358e-8,2.63508083449916e-8
2.8373888337425524e-8,2.0286035193144934e-8
4.691783033315379e-8,3.568440039588422e-8
4.172842953477098e-8,1.997296328964039e-8
4.0008208297858716e-8,1.842078165529324e-8
4.379015838381013e-8,1.964920403700589e-8
4.5805699956996366e-8,2.7844114740929843e-8
1.5198071594393007e-8,5.241338638380507e-8
2.6102201721129337e-8,6.356850818537982e-8
3.8752481611056026e-8,3.255467871571707e-8
5.525904492668699e-8,3.2496987169023514e-8
5.525904492668699e-8,3.2496987169023514e-8
5.090426040781343e-8,3.1401881757480254e-8
5.090426040781343e-8,3.1401881757480254e-8
5.090426040781343e-8,3.1401881757480254e-8
5.090426040781343e-8,3.1401881757480254e-8
4.870632296247027e-8,1.9006411798890245e-8
4.870632296247027e-8,1.9006411798890245e-8
2.228372306399563e-8,2.4928367600015165e-8
3.431695860951014e-8,3.14711719019741e-8
