a,b,σ
4.0974218769577343e-10,1.1396910743940327e-9,9.714363221272326e-9
2.1382040956508698e-10,1.3350456956947465e-9,2.6495350877673543e-8
1.886384190583036e-10,1.4110086341306887e-9,1.550226021684528e-8
2.264813325040515e-10,7.289832468004296e-10,1.245316568408484e-8
2.348834175414553e-10,9.492911742387412e-10,9.596331493584774e-9
5.374551088288645e-10,9.12675349077892e-10,7.944447582272213e-9
4.678152015240958e-10,1.536933036510768e-9,4.985202750476979e-9
4.678152015240958e-10,1.536933036510768e-9,4.985202750476979e-9
3.833413248519325e-10,1.0678584401487649e-9,7.454172017783536e-9
4.998136094072341e-10,9.032256349601829e-10,8.174711543424938e-9
5.415163654683802e-10,9.254845742066754e-10,1.021393286061721e-8
7.000153041052273e-10,8.537990773445073e-10,8.287215755139791e-9
3.5531931345650633e-10,7.758421367508848e-10,6.433369955114577e-9
3.9065225561473763e-10,8.080370454093848e-10,7.17643747943551e-9
4.204135028659708e-10,6.733030887799903e-10,7.564970169887119e-9
7.91516338258751e-10,8.657157991198617e-10,9.848590708517288e-9
6.129766648062454e-10,1.1719293790905331e-9,1.3540341639570574e-8
3.075590777079125e-10,1.1872847287185653e-9,9.231839136106473e-9
7.300416991480664e-10,7.640883475552611e-10,6.55850405396666e-9
3.744983693662573e-10,1.3145382848160245e-9,6.834874461652481e-9
4.2391551140129946e-10,1.2190635662969197e-9,6.0109911986892245e-9
5.80954172350916e-10,8.820609583568812e-10,5.096986071314372e-9
4.985075149216661e-10,9.35333303747927e-10,8.478937756912654e-9
3.444450357562432e-10,1.4497348803747971e-9,8.17484511229694e-9
7.208570476699123e-10,8.589882238123956e-10,6.007053830356629e-9
4.033368202072978e-10,8.596919352561409e-10,8.767488281730462e-9
3.856989372721651e-10,9.312286556796621e-10,6.408016261582594e-9
6.254083842839127e-10,1.1166470437328694e-9,1.3922944083703212e-8
3.737186994365802e-10,9.669592397895887e-10,7.026304652577405e-9
3.5758042949002596e-10,1.1509837670250666e-9,7.192064737590411e-9
3.653255374293763e-10,1.7544814277811197e-9,6.454183217776073e-9
4.612038545882167e-10,1.6945390424251201e-9,1.0991576616734761e-8
5.023809283499811e-10,8.344221836863187e-10,9.459482927638115e-9
6.544630459405345e-10,9.903851010824622e-10,5.66189956907066e-9
6.143633314857257e-10,9.745812912065655e-10,6.009012232979475e-9
4.5412770220404327e-10,8.242058621965497e-10,6.0246645284422595e-9
5.009355656876145e-10,4.2305993418992507e-10,1.0042038161992176e-8
6.05392409457155e-10,1.5071869579117248e-9,8.770144484069803e-9
4.469989444153762e-10,1.0670524626402542e-9,5.480399970022304e-9
5.263571174808676e-10,1.2517093726678276e-9,1.2673337176523754e-8
4.873335693929567e-10,1.3510016440276421e-9,1.1488853265075156e-8
8.798216719595145e-10,5.135647430320644e-10,9.944645410485858e-9
2.4077707856623884e-10,1.1601907909640262e-9,6.6320326887415035e-9
3.1842468359770295e-10,1.0465371881386026e-9,8.588205875693872e-9
4.6111180960622204e-10,1.2229078564796784e-9,6.8222583543602165e-9
8.353581684941777e-10,1.090426507028502e-9,1.2946497327317652e-8
3.0667495912033923e-10,1.0473351125259519e-9,9.413219169629513e-9
5.277718110945383e-10,9.819196622325133e-10,7.087485185406517e-9
6.307554358546965e-10,4.870173680189063e-10,5.8803841987630445e-9
5.151970224961017e-10,1.1691408159930884e-9,6.835412817622003e-9
5.229554406649834e-10,1.6730295790831732e-9,6.123871799755867e-9
4.3780290360507766e-10,1.9387552811619155e-9,6.631498374396185e-9
1.0289434206049727e-9,5.568113923634508e-10,1.6968796672473197e-8
3.946979750022527e-10,2.1368271494439004e-9,6.951082233111762e-9
4.957988516651462e-10,1.0731730964661276e-9,6.371720952653489e-9
