a,b,σ
8.92402818302067e-11,9.261361983989828e-10,1.6106649315818706e-9
5.5076866770052694e-11,8.685418781503002e-10,2.5719212388105623e-9
1.0878502648037362e-10,1.2398226222296838e-9,1.3510846321136181e-9
1.120956900526415e-10,8.507951110013329e-10,1.3639998858717506e-9
1.1021526817201546e-10,5.707995196294439e-10,1.6817880338042944e-9
9.541796228786011e-11,8.45787400723115e-10,1.175892670773655e-9
7.979066505898293e-11,7.581495820534197e-10,2.1134782687866774e-9
8.734803695062433e-11,6.473898602940361e-10,1.4048706497099825e-9
1.0885558884086213e-10,7.087496486839115e-10,1.536956006017412e-9
6.829533983276561e-11,6.836942776612024e-10,1.5956275131726207e-9
5.640933285450981e-11,1.0223311144534092e-9,2.268233925021344e-9
9.251738478281007e-11,8.220165283049328e-10,4.0997627915813064e-9
1.8007689459564034e-10,7.925397926737404e-10,4.927304839012725e-9
1.3570340606352398e-10,1.2864197089580382e-9,4.142290987495158e-9
5.2773919773286445e-11,1.1107983387908966e-9,1.2474480486634445e-9
1.5501442900411446e-10,6.911300177319582e-10,2.0673209385187738e-9
6.666427434060699e-11,5.823099003382695e-10,1.6887280391043983e-9
6.666427434060699e-11,5.823099003382695e-10,1.6887280391043983e-9
1.042559786901486e-10,5.322730172469767e-10,2.5396422179063985e-9
7.544562701703803e-11,1.3168851779130498e-9,1.2767212125176108e-9
5.2804999362533344e-11,1.0112399855928459e-9,2.5336586426708598e-9
7.168013091342827e-11,1.4386349029778483e-9,1.7434246230529037e-9
1.086695806128186e-10,4.6114520883986887e-10,1.6430865602358238e-9
8.866103800361131e-11,6.868154256344174e-10,1.8271958934439315e-9
8.866103800361131e-11,6.868154256344174e-10,1.8271958934439315e-9
1.2471992691433676e-10,7.724756687580377e-10,1.6003212477760864e-9
9.029962863186244e-11,8.83050260742621e-10,1.6155447217056712e-9
7.601133148462687e-11,9.562842253916996e-10,1.616752868418015e-9
8.613243402818777e-11,1.0156963446088307e-9,1.1493086890917091e-9
8.930980074252002e-11,9.97260535662862e-10,1.2968165730036997e-9
5.324259267400118e-11,1.3413801915194561e-9,1.4961420920012561e-9
6.195802244157187e-11,1.4715333992733349e-9,1.3176747944445855e-9
6.195802244157187e-11,1.4715333992733349e-9,1.3176747944445855e-9
7.738952623259235e-11,1.5468318316328667e-9,1.2123485031283785e-9
6.21103235524547e-11,1.4405625737300753e-9,1.3319185150744167e-9
8.55722734036232e-11,1.288901419159844e-9,2.506920368397676e-9
8.199704658760344e-11,8.84856503192592e-10,1.4574480376334019e-9
8.199704658760344e-11,8.84856503192592e-10,1.4574480376334019e-9
8.199704658760344e-11,8.84856503192592e-10,1.4574480376334019e-9
6.670324625229036e-11,1.0485626329926444e-9,2.2703625289717896e-9
4.321681697597764e-11,1.125294079740104e-9,4.56877966070576e-9
9.344370100916741e-11,1.1924452410450702e-9,4.87814603235852e-9
9.2915348497594e-11,7.609319338144619e-10,4.4092356820204575e-9
1.6018643323575668e-10,8.199316454283767e-10,2.8511342115720454e-9
1.0111029063949369e-10,1.1228473945408699e-9,3.438757851165124e-9
7.191524267076525e-11,6.426177288471066e-10,1.2667671027353763e-9
1.1561820974146377e-10,6.621917920886721e-10,1.0874139167045019e-9
7.927695168630828e-11,7.170942603887551e-10,1.6820066552454005e-9
1.1444166338633665e-10,1.1961143123066906e-9,2.7237762469919063e-9
6.290743784260102e-11,9.37954480676018e-10,2.1836774681899164e-9
1.7079994787477082e-10,9.848559120449243e-10,3.3897447682682125e-9
1.1992254447293098e-10,9.88811184774741e-10,2.329491158338323e-9
1.1992254447293098e-10,9.88811184774741e-10,2.329491158338323e-9
1.1992254447293098e-10,9.88811184774741e-10,2.329491158338323e-9
5.687983823104302e-11,1.0565828182246248e-9,2.0364991660708218e-9
7.272632485683694e-11,8.519734477501544e-10,1.4663216358168906e-9
7.519969278283802e-11,1.410721350469618e-9,3.1986438008782507e-9
8.162192483872027e-11,1.892794392185222e-9,2.0823739458084824e-9
3.4959036312380235e-11,9.46210297899281e-10,2.2062492063000566e-9
4.119557369656353e-11,8.807993624929614e-10,2.586762976301494e-9
2.983333594518881e-11,8.238915931718448e-10,2.293496346981214e-9
1.8437465744980147e-11,1.1629671439656708e-9,3.487386627388845e-9
2.3069535631176186e-11,1.0968990580190937e-9,1.8138063417682503e-9
1.5958648281140428e-11,1.6456708306983273e-9,1.55851206922114e-9
1.590934561244876e-11,1.3809266050077804e-9,2.331798709378772e-9
9.00572552201263e-11,9.826535283243764e-10,2.1032407748901596e-9
1.138160972927436e-10,1.2670883318926916e-9,3.766454031113606e-9
1.739386905151961e-10,8.391363384151331e-10,3.6739480034397254e-9
7.479094708629094e-11,9.601723606838579e-10,1.6545194819678928e-9
7.479094708629094e-11,9.601723606838579e-10,1.6545194819678928e-9
7.387241636933078e-11,1.1413420114921287e-9,2.063016842921265e-9
9.729048140483896e-11,7.557290319573813e-10,1.1431706864209742e-9
7.870887977150625e-11,8.88599938069522e-10,1.6488356346778094e-9
7.870887977150625e-11,8.88599938069522e-10,1.6488356346778094e-9
1.0937861621699948e-10,6.976973734227401e-10,1.5548137628607187e-9
1.228387314412478e-10,6.245706200386903e-10,1.91653290021897e-9
5.899950964331846e-11,9.250359455330154e-10,2.285464631781948e-9
8.501212738326472e-11,1.186865050554654e-9,1.3014599174603415e-9
1.02635695291943e-10,8.007205469837049e-10,1.7330831425788277e-9
4.565935070860649e-11,7.949738793182928e-10,1.4306973496051228e-9
8.288657824600629e-11,1.0166578086206172e-9,1.7275398029008128e-9
1.064947844337619e-10,8.438915595459465e-10,1.9786330301055903e-9
7.712819384377883e-11,7.616229878227129e-10,1.81800470272221e-9
7.404047590549641e-11,1.4296642875502183e-9,2.434489990082235e-9
1.1116956786606157e-10,1.2508359639887995e-9,2.1596075243784468e-9
1.1116956786606157e-10,1.2508359639887995e-9,2.1596075243784468e-9
9.147862165192205e-11,8.931973703115643e-10,2.3708029151955244e-9
6.037643074145303e-11,1.3175701947913437e-9,1.763945339715581e-9
5.029396343077957e-11,1.3960613942074594e-9,1.1950600578163256e-9
7.094733621047441e-11,9.799791874929205e-10,2.7043003271868645e-9
1.0509710576532288e-10,1.0998173089585042e-9,1.726476620014316e-9
3.0346989049351596e-11,1.0062166952107467e-9,2.1964213147961553e-9
2.4572263640758986e-11,1.3453610297941073e-9,2.8052450957892736e-9
1.6793189753090494e-11,1.293926093658872e-9,2.8781712013881362e-9
2.0214914994357883e-11,1.0436230478823716e-9,2.768431239795875e-9
6.707418011591954e-11,1.632699197122707e-9,4.093471560958003e-9
5.053367737862364e-11,1.4844082334095787e-9,5.14694289223035e-9
6.853246408736535e-11,1.729814802591413e-9,5.214184682345817e-9
1.0679793931264714e-10,7.581299873356793e-10,2.422904027098721e-9
1.0679793931264714e-10,7.581299873356793e-10,2.422904027098721e-9
5.662466940690087e-11,6.774438625149407e-10,2.4168778984779014e-9
5.64206524215641e-11,7.215043466153246e-10,1.5630260632385254e-9
7.99871584557364e-11,9.630509104905357e-10,1.4887168526335822e-9
1.244258084220406e-10,5.983977403068216e-10,2.2597332906913803e-9
6.391998404605976e-11,1.54107983127314e-9,1.7787805360860161e-9
4.9859256746375975e-11,6.93623721887851e-10,2.2241445637603843e-9
4.0230596508705984e-11,6.327258058386019e-10,1.51730801971275e-9
3.58905673407433e-11,7.343941092580595e-10,2.1291254357155535e-9
7.806838802042761e-11,1.1163658267958358e-9,1.5516765960239092e-9
1.599283790840566e-10,9.619407354506868e-10,1.6417807600994473e-9
6.446410969823732e-11,8.896752120166325e-10,1.479067108266561e-9
7.792025010370617e-11,1.0143477587733444e-9,2.4066099109952993e-9
1.1498116426302649e-10,1.2078223201542875e-9,1.9417116836747382e-9
5.993588162639148e-11,8.245994367122156e-10,1.6979572094148363e-9
8.833055975459948e-11,8.326128948581252e-10,1.5527906052396994e-9
9.787013096597516e-11,1.053491633067587e-9,1.6626887407084665e-9
4.7535628652044765e-11,7.312310986436412e-10,1.7585445387008142e-9
1.1455391846998219e-10,1.3834167573575935e-9,1.8399772398853095e-9
1.2108747355952027e-10,1.2298531526008101e-9,2.0702931116830697e-9
1.1836645083341043e-11,6.580582814381737e-10,2.467020974963616e-9
6.850114657173591e-12,1.4162681915360691e-9,2.41203622434612e-9
1.766557962005145e-12,1.0062247708104716e-9,2.690796795928774e-9
2.2054479499952458e-10,8.200587857473397e-10,5.162194853895574e-9
2.2269269633103984e-10,9.6253687425062e-10,4.0113702580875194e-9
4.949248072190327e-11,7.799957212887183e-10,1.876793606216921e-9
5.891670911549306e-11,9.916889397429236e-10,2.216160375191723e-9
1.456563847435254e-10,8.354576535160109e-10,2.230523772307582e-9
2.1994307165968314e-11,1.3700350393857776e-9,1.7365669133115922e-9
1.0546918074000233e-11,1.2812840434786656e-9,3.7234100256479244e-9
1.2350417364809782e-11,1.475300088936136e-9,2.7643019467301222e-9
2.925600840244963e-11,1.0844200804861868e-9,1.879522614118249e-9
8.094068277001138e-11,1.3825522503500718e-9,1.7067575492409305e-9
8.094068277001138e-11,1.3825522503500718e-9,1.7067575492409305e-9
1.1191470305461665e-10,1.339479044057908e-9,1.6144986288439064e-9
2.8650847802787926e-11,9.468740800490967e-10,1.9569102188267855e-9
4.595920857985982e-11,1.0256175290154278e-9,2.4191226517116524e-9
7.399494564895084e-11,1.086318378421302e-9,2.5545213552545693e-9
7.399494564895084e-11,1.086318378421302e-9,2.5545213552545693e-9
2.7607281480454404e-11,1.0787404213361785e-9,2.215585443439289e-9
4.857316606566318e-11,1.0078637377419675e-9,2.6044337950633036e-9
9.965004973653057e-11,8.616790086015464e-10,2.0535793689399326e-9
8.399239088789436e-11,7.245261171683683e-10,1.330767525974162e-9
1.0373937157539367e-10,5.490889632611803e-10,1.827918994147659e-9
7.055954959640577e-11,6.376119256627206e-10,2.386526061031289e-9
4.552094625520565e-11,1.013301546224211e-9,2.1174054032439143e-9
3.7285972075908526e-11,9.266909771544209e-10,2.324095249623987e-9
5.5872398980393867e-11,1.3008977098111392e-9,1.958684650508797e-9
1.6999681241739968e-10,8.027760402542872e-10,2.5816875956910703e-9
1.3980520357744787e-10,9.157720182207272e-10,2.339970506124104e-9
5.925530359209745e-11,7.322384259439624e-10,2.7721896234079983e-9
1.1068142134597215e-10,8.873233461835283e-10,2.4299025180949064e-9
1.0127974682303385e-10,7.671412097116284e-10,1.0616207284770313e-9
9.356407244791622e-11,7.942667523882578e-10,9.924752262211208e-10
1.0767583959873205e-10,9.70402183635304e-10,2.3960995412488976e-9
9.245081035851943e-11,8.649529489333098e-10,1.135971118258166e-9
9.245081035851943e-11,8.649529489333098e-10,1.135971118258166e-9
1.0801643146414068e-10,7.167643503206203e-10,1.8601610659091304e-9
5.7426704863349996e-11,5.974458945450164e-10,1.124444977163062e-9
5.7426704863349996e-11,5.974458945450164e-10,1.124444977163062e-9
8.873915228184174e-11,6.579552289149082e-10,8.415046700502909e-10
1.362224846870524e-10,6.239082681132229e-10,1.0594683515188378e-9
1.362224846870524e-10,6.239082681132229e-10,1.0594683515188378e-9
5.1239864128297304e-11,5.250936986789724e-10,8.68393455856136e-10
1.264802512836875e-10,5.537250614324277e-10,1.4720150432709921e-9
1.1106603350875727e-10,1.8416607299759418e-9,1.8207299408856157e-9
6.391328920524218e-11,4.4553380176932556e-10,1.683815830543738e-9
9.063394326627557e-11,1.5890673934811705e-9,1.9131805999743045e-9
6.96207475764129e-11,1.5349165626125684e-9,1.5315825466089807e-9
6.96207475764129e-11,1.5349165626125684e-9,1.5315825466089807e-9
8.877537131646127e-11,7.937913144109999e-10,1.5449311075821802e-9
1.0616856048467895e-10,7.362362523345706e-10,1.6415667407293372e-9
8.119773487974361e-11,8.349979270689553e-10,9.923531952414202e-10
8.119773487974361e-11,8.349979270689553e-10,9.923531952414202e-10
8.40347038395817e-11,1.140874796826633e-9,1.0773218093673751e-9
8.40347038395817e-11,1.140874796826633e-9,1.0773218093673751e-9
8.372946247692674e-11,1.095074109480267e-9,1.0891890902132829e-9
8.372946247692674e-11,1.095074109480267e-9,1.0891890902132829e-9
5.783770878547533e-11,9.917654370367451e-10,2.612137103365961e-9
8.60792493170081e-11,9.974400757035161e-10,1.961369518505661e-9
9.498737639828114e-11,9.294296897302718e-10,1.7684272358011106e-9
4.439390414352065e-11,9.01674457131656e-10,2.0710291437115167e-9
4.585135301406312e-11,1.1169683403081601e-9,3.257472352487439e-9
6.028241989001468e-11,1.478192933326978e-9,2.2476132840874112e-9
4.2497261823456165e-11,1.26796577661815e-9,1.1822734451418448e-9
6.591031525997854e-11,9.721557476456572e-10,1.3755346065444424e-9
9.706970488674236e-11,1.5559625092039972e-9,2.5288744392177958e-9
5.97565802269474e-11,7.410341702965711e-10,1.2701211763557601e-9
8.553238539188607e-11,8.704416266822597e-10,1.6938133484403667e-9
1.2266846441702532e-10,6.22528818145731e-10,2.1687836782754503e-9
1.275831382645828e-10,5.409915664505335e-10,2.680162187213814e-9
9.671818765819176e-11,6.019060604409876e-10,3.524679645214412e-9
4.478837575297968e-11,1.926634554099121e-9,1.1766294441203582e-9
1.5824519883343976e-10,1.0015804317196444e-9,1.8060011432814142e-9
2.767220431566544e-11,7.34195026254364e-10,1.2999955584734493e-9
6.055508480756525e-11,1.0013679250111326e-9,2.976478445809286e-9
1.1401792005207341e-10,1.2953968140348867e-9,2.0927043986863956e-9
1.8715989687007577e-11,5.207972693615309e-10,3.6392900645262012e-9
2.923855962763317e-11,5.477021437588595e-10,3.4415866209261335e-9
4.498900312599289e-11,1.3946636869230177e-9,7.893291270028714e-9
8.423321655530684e-11,1.069737237792774e-9,4.011485402609403e-9
1.2133633138174745e-10,4.708414067160877e-10,3.4150726521589723e-9
3.3020661833083625e-11,9.325625358727133e-10,1.803836885799664e-9
7.5592435214429e-11,8.933743025314193e-10,1.9878055012708764e-9
1.2348381555840824e-10,6.599325311114999e-10,1.7194019805358704e-9
1.2348381555840824e-10,6.599325311114999e-10,1.7194019805358704e-9
6.642348811873954e-11,8.806532618729261e-10,1.4880769616752967e-9
2.9092272667461477e-11,1.0989099270678527e-9,3.854009085046121e-9
2.7074998731311963e-11,1.1475078636389287e-9,3.99459800870059e-9
2.5537917716697658e-11,1.0417342185158951e-9,2.7021954597314137e-9
4.6896718597652235e-11,5.560189292275117e-10,6.4939181677755246e-9
4.02259862441727e-11,1.3610201306740146e-9,5.433053821883912e-9
2.3542895612323196e-11,8.32206846951228e-10,2.648606224543364e-9
1.7327370227790548e-10,1.5018369283218818e-9,2.940971683213769e-9
2.2212964647895088e-11,1.2546435555829693e-9,1.950801510304281e-9
1.3264948182063793e-10,8.469882837635643e-10,2.1910521756941973e-9
1.0967954263998802e-10,9.623007102260938e-10,2.471229202548692e-9
1.0414647270277989e-10,1.0877950159729101e-9,1.4167812659666684e-9
4.474606903342055e-11,1.3668133456577127e-9,2.891115481039074e-9
1.1750227043050665e-10,6.926097626380577e-10,2.3841347495885608e-9
9.280914510105422e-11,1.0377770943198901e-9,1.0783697736101258e-9
5.583554343474667e-11,9.369171189536516e-10,1.7407101619497867e-9
6.900941291862525e-11,8.262719707891968e-10,1.898094806651255e-9
1.0392141329130491e-10,1.3343481765821538e-9,1.7735151422435522e-9
8.745308521268294e-11,1.206103062516881e-9,1.7540287355903065e-9
9.733504042603046e-11,1.1082816581896815e-9,1.8803739009040544e-9
9.733504042603046e-11,1.1082816581896815e-9,1.8803739009040544e-9
