a,b,σ
1.237441716308558e-9,7.239180414621619e-10,9.66392380044501e-9
1.3729332604407485e-9,9.211880373778002e-10,3.613899517112977e-9
1.3729332604407485e-9,9.211880373778002e-10,3.613899517112977e-9
1.3868071129993268e-9,9.85545698608534e-10,3.658420363338065e-9
1.3430026651560896e-9,1.2900349329021752e-9,2.687954941961886e-9
1.4300518516973291e-9,7.934862824145516e-10,4.2535908084781e-9
1.3471675357625446e-9,5.547292696845787e-10,3.3060335955624625e-9
1.5771794383954025e-9,8.257697400225237e-10,1.7008857273699193e-8
1.598258587527458e-9,5.974484586333963e-10,1.287842190663964e-8
1.3132972963431896e-9,1.099442880718074e-9,7.009537391625327e-9
1.2703365614720768e-9,9.318549928207942e-10,2.9639762818618937e-9
1.3288753124271192e-9,9.837933056541862e-10,3.555765426689064e-9
1.3328847657908546e-9,1.5114562990792213e-9,3.624343560264138e-9
1.406797685897859e-9,1.3708240121075508e-9,2.8620448742965297e-9
1.406797685897859e-9,1.3708240121075508e-9,2.8620448742965297e-9
1.2917920653748813e-9,9.205626076412179e-10,5.05626150998979e-9
1.373270630472153e-9,9.554842656423158e-10,4.3199122609410734e-9
1.373270630472153e-9,9.554842656423158e-10,4.3199122609410734e-9
1.373270630472153e-9,9.554842656423158e-10,4.3199122609410734e-9
1.3641731120345066e-9,8.557299591145008e-10,3.5011900217611664e-9
1.3871251079400827e-9,1.0689677014774544e-9,3.795670453085086e-9
1.3111774097123474e-9,1.3821476219728783e-9,6.458293690986568e-9
1.4344022875194741e-9,1.35509768738566e-9,4.533659518773018e-9
1.3285189988371242e-9,1.4452013951405126e-9,4.987912861643308e-9
1.3435411524971282e-9,1.4006192920290683e-9,2.9367639581547747e-9
1.3970271766117823e-9,8.591141333973997e-10,5.54019801398259e-9
1.426950739951488e-9,1.2826906993988236e-9,6.457176370921798e-9
1.3507940686446664e-9,1.1070717085899269e-9,5.6216066984296375e-9
1.3756334956241306e-9,9.992272783778473e-10,5.277194766048979e-9
1.2993524038535338e-9,9.93253010597596e-10,7.578172695364591e-9
1.3428216458945895e-9,9.782674051134547e-10,8.432305615492415e-9
1.3370359677636492e-9,1.3939240637311286e-9,3.2100940536601486e-9
1.3370359677636492e-9,1.3939240637311286e-9,3.2100940536601486e-9
1.282195655584977e-9,1.2230467013166954e-9,2.975468493243181e-9
1.265959568485584e-9,1.6135100784898475e-9,2.8557380591714293e-9
1.3181976325579666e-9,1.56065553279795e-9,3.1235760883256696e-9
1.3010158021380098e-9,1.6289010681845896e-9,3.2033158360998196e-9
1.339864240837061e-9,1.3971626978747865e-9,2.2633075360930877e-9
1.3192786191859278e-9,1.3215512737258e-9,2.5100723634636215e-9
1.364923462325307e-9,1.5418712788819261e-9,3.2944129434624435e-9
1.3801440293473414e-9,1.4650890203027542e-9,5.437385913522428e-9
1.3396462571540168e-9,8.983741695326272e-10,2.74704161419968e-9
1.4249677171154002e-9,7.592949813749913e-10,2.9573320440817357e-9
1.3120768329684907e-9,8.825406938116979e-10,5.028423325841844e-9
1.4668905170441753e-9,9.362719139095744e-10,8.767264509913674e-9
1.5836379303152669e-9,1.0465446372784209e-9,5.874523066448592e-9
1.2396100043617385e-9,8.42105089315337e-10,4.949204716271529e-9
1.241663571660577e-9,7.615419508742497e-10,5.970068907462794e-9
1.285479776507057e-9,6.806001488535667e-10,5.01780950152896e-9
1.3221109946112308e-9,1.2457144220143123e-9,9.229476678643044e-9
1.3501155613579013e-9,1.0639623339398463e-9,3.7250327881406904e-9
1.3083235272370115e-9,2.5609254892674924e-9,2.1660186435027307e-9
1.3083235272370115e-9,2.5609254892674924e-9,2.1660186435027307e-9
1.3305920621612593e-9,1.9642005558466036e-9,6.379190567371926e-9
1.3266219407748785e-9,1.5271262448322887e-9,2.9576594975991093e-9
1.34132829636344e-9,1.663495133257377e-9,2.821051291101671e-9
1.5079584230159584e-9,6.801653767034803e-10,5.017271438640224e-9
1.4437124264635606e-9,5.656216371141255e-10,8.757203509975145e-9
1.3208037640411125e-9,1.6723856422743663e-9,3.0593261282865722e-9
1.4207248719105329e-9,1.6655498826490736e-9,2.819441937442222e-9
1.1616923829305957e-9,8.845543524105113e-10,9.3046784128603e-9
