a,b,σ
1.6441812087123488e-9,1.2594387819848018e-9,1.0499127688244799e-8
1.8230343808120322e-9,1.3594343383294771e-9,1.696136903143772e-8
1.8230343808120322e-9,1.3594343383294771e-9,1.696136903143772e-8
1.7969491807244067e-9,1.2281224650538056e-9,3.654708964690913e-8
1.0960985480727179e-9,1.1705883729820872e-9,1.2842545521626798e-8
1.3245343489442978e-9,1.2034256506689529e-9,1.5977625280315302e-8
1.5584199936711432e-9,1.1884270297860104e-9,2.0875762728729994e-8
8.269015601777061e-10,1.5260654731753044e-9,1.791340924637368e-8
1.2008984300594432e-9,1.1906257499081914e-9,1.2827413626221625e-8
2.117340404305825e-9,5.78057853406378e-10,1.738985389460799e-8
2.117340404305825e-9,5.78057853406378e-10,1.738985389460799e-8
1.2955148319325694e-9,5.016841223497524e-10,1.9144308871256493e-8
1.3635198873112378e-9,6.902835873956656e-10,1.1155765490085118e-8
1.3635198873112378e-9,6.902835873956656e-10,1.1155765490085118e-8
1.3635198873112378e-9,6.902835873956656e-10,1.1155765490085118e-8
1.75545472256653e-9,1.0429747346013768e-9,9.306441121471685e-9
1.5483016733480653e-9,1.189597044243657e-9,1.2355068380287749e-8
1.5483016733480653e-9,1.189597044243657e-9,1.2355068380287749e-8
1.0933881415820504e-9,1.3174511813622491e-9,1.1212012215267657e-8
2.1328312996268274e-9,9.89293846537507e-10,3.713769797770828e-8
1.4435699872331433e-9,8.789520493327832e-10,1.0793111219893808e-8
1.8031352891838018e-9,7.692942123082648e-10,1.9019093785683912e-8
1.72639871166558e-9,1.1003056572897653e-9,2.1107947569109568e-8
1.72639871166558e-9,1.1003056572897653e-9,2.1107947569109568e-8
1.4592407459823588e-9,1.4653547207354875e-9,1.0271873010263551e-8
1.4592407459823588e-9,1.4653547207354875e-9,1.0271873010263551e-8
1.4592407459823588e-9,1.4653547207354875e-9,1.0271873010263551e-8
1.4592407459823588e-9,1.4653547207354875e-9,1.0271873010263551e-8
1.4592407459823588e-9,1.4653547207354875e-9,1.0271873010263551e-8
1.4592407459823588e-9,1.4653547207354875e-9,1.0271873010263551e-8
1.3755051047989128e-9,1.3474982761747222e-9,1.4452641777684186e-8
1.3258693328755377e-9,1.0241456553416204e-9,2.558147942711773e-8
1.0199856759325336e-9,9.812977969210783e-10,1.955631854013981e-8
1.5436560139634415e-9,9.244572618363721e-10,2.0218288641080263e-8
1.88453918655513e-9,9.123550162590876e-10,1.2396418110365309e-8
