a,σm,µ,σ
9.170042947738463e-7,12.47210342076033,29.656096105410406,8.723342319683052e-9
6.948702601020132e-7,13.266237868296074,29.014805588916126,3.7016754388449423e-9
7.136539886385848e-7,11.73742989357669,28.904393970491647,3.2125423350227598e-9
1.3231800445575932e-6,16.8444125040033,30.833649402219024,1.0356748014958276e-8
8.271107505938593e-7,13.030989285485724,30.482621109602125,8.572442189191697e-9
8.180982730929067e-7,14.342101988824393,30.1569443966481,8.736249753729167e-9
8.983434935936255e-7,14.49966897125303,29.883589084367188,8.935132023411077e-9
8.983434935936255e-7,14.49966897125303,29.883589084367188,8.935132023411077e-9
8.644331675300855e-7,11.24268984808597,30.12566340518927,6.423381071973644e-9
8.409593743090547e-7,14.903341877087346,30.421463699076327,7.2297964603582945e-9
8.358105009740154e-7,12.963175637248165,30.115980783310135,8.638882291634058e-9
7.730960204885139e-7,11.402759659467893,30.0937252416756,8.331797021235332e-9
6.850926388443576e-7,13.730446534767001,30.172123209365658,4.78122062341344e-9
9.627591096616085e-7,18.488308779850026,30.180883975792433,7.507363619571767e-9
1.0096888865112667e-6,16.871965678528458,30.09807290849026,5.729964250157689e-9
7.972605698348515e-7,14.234600656247142,29.843875895513428,3.1928623461015726e-9
8.586204961075553e-7,17.38190359784101,29.60647070291898,2.899023418501789e-9
8.816716866264799e-7,19.00450491327546,30.305692436148668,4.773959514039459e-9
8.813514978203827e-7,19.048526495483642,30.38766317005202,4.740240573585222e-9
6.47744322874285e-7,13.519997060522963,30.224684146170112,4.8874178443672576e-9
7.745986791140752e-7,10.957654588114016,29.933852445545078,1.0068526615161817e-8
9.687524673089144e-7,18.5529666053433,30.386335729706936,5.6990960663862265e-9
9.355730675896966e-7,19.14315480318075,30.36286457419733,4.378965240569329e-9
1.140702769817234e-6,20.916488527040347,29.272892211321476,7.304145083605029e-9
8.952000806296342e-7,15.983378936113422,31.303715643190433,6.739872434370294e-9
8.159310761880832e-7,16.239092060630774,28.59516473991994,3.801493831594646e-9
8.488336328972562e-7,14.866193562514988,27.39008457716446,6.400153412889611e-9
1.1535920824193475e-6,12.731079863590613,30.088313912426383,8.661138927009727e-9
1.031222052822273e-6,15.130240477837836,29.882334981741177,1.5606964086469677e-8
1.031222052822273e-6,15.130240477837836,29.882334981741177,1.5606964086469677e-8
7.077805688730156e-7,12.038405851877286,29.389508400229012,4.294757985358674e-9
7.311098215962193e-7,14.552708633250258,29.39429618458884,5.059473721540798e-9
6.451078164647842e-7,16.25025663918087,29.919005367260503,7.089180938804754e-9
8.081632186688459e-7,14.056416321110442,29.360422595273487,3.2170667271923518e-9
7.370140885862048e-7,14.962266608438993,29.862712121861172,3.402437147980604e-9
8.731019123434471e-7,14.523716487867302,29.683149370965577,9.377922832207435e-9
8.627045253236704e-7,16.71995100743543,30.144971286950195,4.8044582363573904e-9
7.834364764388327e-7,14.245152150658473,29.53907404504863,5.153885366402233e-9
5.779313647109109e-7,12.908231264930697,30.469640185289354,2.7925658295907295e-9
5.969188711213718e-7,13.55698208643313,29.989814856684507,3.870297185761105e-9
6.21018345004834e-7,12.575959211641806,29.882902566114467,3.819103336795604e-9
7.337883851578054e-7,13.93081380235479,29.986439105814373,5.815863951977881e-9
7.243641188446765e-7,14.54882920767782,30.086602013286253,6.014067811085059e-9
8.965472975916939e-7,17.848062355881147,29.956117399299778,5.284658763729756e-9
8.965472975916939e-7,17.848062355881147,29.956117399299778,5.284658763729756e-9
6.482456666487454e-7,7.274068752398206,28.389674527767397,1.3683691512169077e-8
8.123796708357023e-7,13.896503451693818,28.99243467344745,7.308983556740785e-9
8.132002561476768e-7,18.60379103177541,29.43719153749795,5.9410653246793804e-9
7.680279258615219e-7,12.009796416120048,30.07398439174056,3.5436037090792055e-9
8.403855244468218e-7,10.672254327469368,30.223520372785522,4.866256623698795e-9
8.023881332006856e-7,11.219134057514896,30.427457656314296,7.1990584109891805e-9
8.186758271796178e-7,15.567326547063944,29.11853594472594,6.587627986086419e-9
9.665827154799052e-7,17.339019553015582,31.32394212224894,6.100075767471197e-9
8.346416507254577e-7,17.537004775900783,31.175849017911172,4.1752446953655084e-9
8.670923330274776e-7,14.34407111803587,28.77434883828571,4.281675811000158e-9
7.711844850302631e-7,15.12802260973356,29.702801320510623,4.1881549523951194e-9
7.745813219747812e-7,14.811985498833932,30.011584279447924,4.016050278701853e-9
8.373713045802061e-7,18.837479817980697,29.871495851114453,5.0058140162493086e-9
1.1441198445418933e-6,21.70983611395179,30.070304610621434,4.1383060671294045e-9
1.1441198445418933e-6,21.70983611395179,30.070304610621434,4.1383060671294045e-9
8.78873389902678e-7,17.481821565895352,29.919715348564683,5.192544396415219e-9
6.457708599158061e-7,14.551724162755187,30.174573748525702,7.796757046673862e-9
7.277491501857817e-7,12.86257497182947,29.68377606634764,7.007195217200216e-9
6.815204868913525e-7,15.933164211910203,29.48797741247453,6.032915844359227e-9
6.424939165648932e-7,15.397316070329818,29.991890373338464,6.217742976094933e-9
9.100073822870325e-7,13.19438572831327,30.013957053428214,4.759970327367764e-9
9.167050085074709e-7,14.966364421525874,29.96226379221231,3.788782541664431e-9
8.466298698848063e-7,15.776733346590321,28.834573164417552,2.916478298299488e-9
1.202636418065785e-6,18.085662852793405,29.700971463537993,1.3023248026480258e-8
9.688586795492751e-7,16.76351361162199,29.85874086178449,1.4068706374429512e-8
8.800475863410359e-7,17.334603679853082,29.39297132662866,1.1664353085236809e-8
8.721477871965139e-7,9.507188600463099,30.165401129667625,7.436727136007317e-9
7.758646028332126e-7,10.633121423642157,29.247773865116503,7.059122068565775e-9
6.226659677835999e-7,13.269583584704453,29.295936032008534,4.072947276180112e-9
6.978072771357936e-7,12.978480846247724,30.209790301569882,3.4791192424898763e-9
7.121619991991082e-7,12.658756124562286,30.130108345025157,3.549556102647665e-9
7.513826345645033e-7,15.627259266283623,30.7202290932106,4.577078492802056e-9
