a,σm,µ,σ
2.1123819662203386e-6,15.971193213559983,37.100099330704765,1.7743859991478535e-9
2.192972296262218e-6,17.407041392093944,37.4726554080735,1.434934553202942e-9
2.192972296262218e-6,17.407041392093944,37.4726554080735,1.434934553202942e-9
2.2684996386768472e-6,17.736073374210186,38.226978768036574,1.7422824294236327e-9
2.1960918742604906e-6,16.69285274608757,37.76363751123249,1.6070481165079152e-9
2.2952830096668605e-6,17.419541504626338,37.71596464346675,1.7151129029413089e-9
2.230847589826861e-6,16.94675890814424,37.6128963000985,1.4517514059984833e-9
2.0285870314483375e-6,15.311702500879445,35.95314239642573,3.2938561225415427e-9
1.9148866108945515e-6,15.051643589018076,36.778279182442496,3.3714487632552723e-9
2.0232503961282436e-6,14.806685132875161,36.91572312192202,2.071091939171158e-9
1.920586739345533e-6,16.54016149920544,37.841770640937696,4.157942075477005e-9
1.9058309638393512e-6,16.1627788131087,37.622772679066216,4.088185093532624e-9
2.1909799929482243e-6,16.71922800614131,35.17726818283661,3.707703596378535e-9
2.219380605362146e-6,16.783874425333217,35.803686226404146,3.3486278045345664e-9
2.161766462191225e-6,17.40050621334957,35.390704232083706,5.054946715876524e-9
2.0839918473138656e-6,16.609001409111656,33.472039683786114,4.812779691796423e-9
1.8056224205075992e-6,13.700496841424961,34.41149405962834,2.923233397795415e-9
2.1581021923719987e-6,16.840784181944777,36.24887025491543,2.5207413174247967e-9
2.156654532545811e-6,16.78083984186142,36.499954670969885,2.0241278465945275e-9
2.2237663155606254e-6,17.523248210639096,35.31655822248479,6.501260725716328e-9
2.0617828668059004e-6,16.259632944728942,32.41559251625969,5.847357693255431e-9
2.132686047438389e-6,16.800372576538326,31.99731517109387,5.87981472846448e-9
2.0002268272243705e-6,15.811575828415048,32.85534221490779,4.352556311676667e-9
2.169197367960629e-6,16.587227143914095,37.28878219338809,1.0058207305863762e-9
2.169197367960629e-6,16.587227143914095,37.28878219338809,1.0058207305863762e-9
2.169197367960629e-6,16.587227143914095,37.28878219338809,1.0058207305863762e-9
2.169197367960629e-6,16.587227143914095,37.28878219338809,1.0058207305863762e-9
2.169197367960629e-6,16.587227143914095,37.28878219338809,1.0058207305863762e-9
2.1819741947017624e-6,17.320027118035902,37.44187899172192,1.1000079446231182e-9
2.240726969978851e-6,17.55368327118188,37.14573292425496,1.4982671118211978e-9
2.1935836529824448e-6,16.808742082243707,36.87642313381086,1.5495927096590766e-9
2.1963915606400085e-6,16.83078140961955,38.006193007154245,1.2883786760073414e-9
2.152515577936985e-6,16.985695071664544,38.26293180296019,1.2888133963708899e-9
2.1647924954578755e-6,16.71061422852418,38.19912772215811,1.1901845677386487e-9
2.2138564639139115e-6,17.199324568941,38.10911094514523,1.1927068379630618e-9
2.2138564639139115e-6,17.199324568941,38.10911094514523,1.1927068379630618e-9
2.248149167894506e-6,17.40407232800466,38.129619538347455,1.3446021836326862e-9
2.3608085169349307e-6,17.969452990121873,38.67171633771686,1.328253547982143e-9
2.315770883004857e-6,18.093092528435506,38.847851157887526,1.1843580115892274e-9
2.315770883004857e-6,18.093092528435506,38.847851157887526,1.1843580115892274e-9
2.3440450073601887e-6,17.8038733199462,38.51581064146266,1.336426546512835e-9
2.3440450073601887e-6,17.8038733199462,38.51581064146266,1.336426546512835e-9
2.2990096640379537e-6,18.139345104881507,38.57646552093406,1.1474640710839482e-9
2.3383077582568014e-6,18.08617665136868,39.26968274378699,1.4324160942200563e-9
2.392423924195139e-6,18.816985799849657,38.7930372456979,1.184237490129192e-9
2.322385455129184e-6,18.224083552496538,39.08951385357694,1.6094502328298798e-9
2.3731052046556925e-6,17.94591736668329,38.99304724084193,2.2201264127365734e-9
2.160709346816116e-6,16.75511726921974,37.12045577109707,2.1050043757798607e-9
2.212709422381799e-6,16.52707108365196,37.01158598734176,1.4915545418771028e-9
2.1027602220904986e-6,16.928123479269196,37.16494937540482,2.3179696822030676e-9
2.2251679718598416e-6,17.78104697774055,37.88275120148386,3.025983898204137e-9
2.2673511044457017e-6,17.453720753716887,37.328779255469485,2.044983172721306e-9
2.3235146587035514e-6,18.05383507852583,38.378706004019705,1.3939370749015233e-9
2.2672423735999957e-6,17.364067811093648,37.65503967030763,1.6710465573737616e-9
2.1526309872563454e-6,17.576541264927982,37.626112654040526,1.7209317218419097e-9
2.1526309872563454e-6,17.576541264927982,37.626112654040526,1.7209317218419097e-9
2.1602653199914724e-6,17.04811986516062,37.34452755663504,1.8209869146321953e-9
2.210600281384148e-6,17.142710455446803,38.05846403193955,2.182694707348758e-9
2.3081955785750067e-6,17.640353458666212,37.91985419914215,2.280991986195565e-9
2.2160784845197315e-6,17.236958864038478,37.80273603996776,1.81439887063848e-9
1.8659905989684752e-6,14.768465212639542,33.9141706023136,2.8975570918661907e-9
1.737558226255808e-6,12.84163634596076,34.27541506673593,2.576057467704595e-9
1.8456431719488708e-6,13.843708932595874,30.035492427678875,1.3025972170693259e-8
1.9041790854303818e-6,13.365473952394103,30.21660773764144,1.535173684534409e-8
1.8609083826775624e-6,12.51852229482016,30.1181508322306,9.710449079721632e-9
1.7180140730351265e-6,12.466240269434422,31.180299906771868,1.1811837403268061e-8
1.7812643222580932e-6,12.46522382495732,30.00395477465232,9.613419129200557e-9
1.7812643222580932e-6,12.46522382495732,30.00395477465232,9.613419129200557e-9
1.7812643222580932e-6,12.46522382495732,30.00395477465232,9.613419129200557e-9
1.4985290458031856e-6,8.678919323061296,29.420933777304693,1.619244481653201e-8
1.447984109379914e-6,8.66639874744991,30.051576355812486,1.870896587379535e-8
1.4350684366889928e-6,8.254670449617343,30.484600511679176,7.913244210349776e-9
3.7065630607598415e-6,12.505747398216906,31.634393899583845,5.25405615185216e-8
3.4286853064594664e-6,11.98721025236465,29.63269944192237,5.0937611993044785e-8
3.339356657664337e-6,12.605984638400722,29.810587990083178,5.275578642827586e-8
2.9029800875219577e-6,12.768725330675887,30.008622531922605,2.390029251171234e-8
2.9951468223848945e-6,12.52806429186266,29.868139331129687,2.5119374781806803e-8
