a,σm,µ,σ
2.312151288715151e-6,13.913618322129867,30.51568639253776,1.5093713453837468e-8
2.0687650570702662e-6,15.281084649974252,30.35311289928851,5.682734833154841e-9
2.294954663814222e-6,13.483021856507156,29.653285109943045,1.051341520719846e-8
2.3438176404054297e-6,16.123524283815847,30.405091191523745,9.586346811376065e-9
2.0213395090680973e-6,12.971437571030902,29.603656520705044,7.329558635214685e-9
2.059405760037711e-6,15.120287440956353,30.223470675060504,9.394931414153762e-9
2.1262428939856458e-6,13.262640227237616,30.584613143712744,7.162030988482172e-9
2.1451434543432007e-6,12.907176998743417,27.871937209107948,1.6204115896321038e-8
1.9491702404789628e-6,12.278530829390878,26.41828652465866,1.546576428314161e-8
1.674137293395459e-6,11.5402834020288,24.707278498007827,1.4246856442607523e-8
2.7146361375972848e-6,14.092518196351957,30.005543911982212,1.8707929995041948e-8
2.7146361375972848e-6,14.092518196351957,30.005543911982212,1.8707929995041948e-8
2.9289861512964684e-6,16.0810731152187,30.05716998690546,1.3162751658475949e-8
2.582174535419429e-6,16.67408216029445,30.639793041612982,1.1598900855625314e-8
2.045969317950136e-6,14.861378006380303,29.74766243554751,6.591224596560581e-9
2.068030403283081e-6,14.935288752161963,30.1031882101155,7.014690710775021e-9
2.23332888302304e-6,15.428196685462083,30.20085459436339,1.0550461794938566e-8
2.2621354397440094e-6,16.33517359607098,30.389941965609438,8.704591333504136e-9
1.920888678376607e-6,14.867242613876932,29.86796094936679,1.990570656083504e-8
1.8955811631231752e-6,16.77192930023515,29.768142786559743,2.511139851993019e-8
2.457567160474066e-6,15.28951582564378,29.732257150150446,6.306641236537117e-9
2.054473228255514e-6,15.432839431505231,30.164964290782198,6.125258022130293e-9
2.32563187545285e-6,15.862175153976107,30.46010463546696,5.6032431529466005e-9
2.440964887350198e-6,16.508790509720058,30.15553578242794,9.181579900163156e-9
1.7859341492866214e-6,9.8828153789655,29.973920433570818,1.626893874386938e-8
1.8836044253646734e-6,12.006679801689423,30.10396610506083,1.967418944692876e-8
1.2866103425989219e-6,8.418561309142914,29.792616207912324,2.1841252001198993e-8
1.904778723604639e-6,7.651111459111505,29.5974854324321,3.253123493628959e-8
1.8668143616516019e-6,7.962781096725898,29.351470179878014,2.7413126615459492e-8
1.9072947323477082e-6,7.75374801313139,29.846282527377376,2.6816833003169532e-8
1.8056970567509407e-6,10.85485197922129,27.806199097023605,2.289157346227983e-8
2.110643862633112e-6,15.096950054300539,28.534047227690273,6.427168893148223e-9
2.1593739236651335e-6,14.191490565163907,31.577900115296046,1.2881010114443488e-8
2.5055201551067934e-6,14.77894318089204,29.719648929547937,1.0138856286513377e-8
1.8485555745510593e-6,13.801489196927339,29.759583313590635,9.800304974635206e-9
2.2921037910841925e-6,14.033649758969315,29.73918855170249,9.530219694756337e-9
1.9989451428683033e-6,13.092041171212689,30.271783252464708,8.59887704750529e-9
2.3195668149309907e-6,12.167786138246516,29.67024588642345,1.6031320901013294e-8
1.9960788430549905e-6,11.879909796526539,29.276636449456596,1.1506843731340469e-8
2.282268697592056e-6,16.465982709534586,29.00229566150241,7.435047962741015e-9
2.1621215390863723e-6,13.291120947644176,31.147621808004057,1.3043931211958655e-8
1.8693617352078973e-6,12.328658876282878,31.02501872516895,1.884245578999386e-8
2.01231816835199e-6,12.922992218451247,29.369083776635243,1.819771310278107e-8
1.6262936272966888e-6,15.17522963670963,29.837511365694066,1.5818914976297944e-8
1.6608982862156465e-6,16.74613799017552,30.149457341707546,1.697145888994694e-8
2.1330027909132132e-6,15.099050269178731,30.206189627274185,2.4471525782615274e-8
2.0064576006467534e-6,11.417304352396739,30.524662713410407,1.4378435695236912e-8
1.793774164892163e-6,13.986190073290997,28.874869009576827,8.360027027832611e-9
