a,b,c,σ
-1.6536527915056443e-7,4.457256059353654e-6,9.190987525545243e-10,0.00018033606316357587
-1.9851738568277266e-7,8.182235248455072e-6,9.175304226328462e-10,0.00017896580070316266
-1.830292728904892e-7,6.409481362545932e-6,9.192189344817679e-10,0.000152371037330331
-2.2252358065910638e-7,3.588453392211477e-6,8.676310711536768e-10,0.0001984207680026111
-1.6809767275360876e-7,1.2724331357460983e-6,9.05347464526311e-10,0.00030094502543682186
-2.0292612820660416e-7,2.562276749884518e-6,9.620126143738156e-10,0.00020904945842174224
-2.4542096471735775e-7,1.5696511505680633e-5,9.882125067568015e-10,0.00023230767282569697
-3.664123922469953e-7,2.1069417023511505e-5,1.0007317937815153e-9,0.00023167846222576393
-6.722116555751834e-7,2.5713296678553377e-5,9.300231817856537e-10,0.000281321918383518
-3.6383402163275846e-7,8.232859090462341e-6,9.420144806292219e-10,0.00014633961959436748
-1.8110739749555016e-7,4.251095396590188e-6,8.303764421603785e-10,0.00016245390398124079
-1.3574133114757636e-7,7.5698621726516535e-6,8.577529600290404e-10,0.00024579450182782785
-2.7676771342799444e-7,9.969026645073598e-6,8.987467179184168e-10,0.0001419019645528814
-2.277565203101517e-7,1.1501203881714162e-5,8.369194406759246e-10,0.00017754473591068349
-2.2326271305328493e-7,3.4677195195342847e-6,8.393702648607099e-10,0.00016706503238235885
-5.515308967724009e-7,1.5599901120211257e-5,9.114393924954325e-10,0.00019388770793918057
-3.840867955073879e-7,1.5381066733155535e-5,8.764671890442618e-10,0.00019206629884462178
-7.823913724808174e-7,2.4918957907793526e-5,9.207051076635179e-10,0.00014817192871911005
-7.823913724808174e-7,2.4918957907793526e-5,9.207051076635179e-10,0.00014817192871911005
-8.386351923322932e-7,2.70440815262063e-5,9.187050266172157e-10,0.00013937766468147866
-5.352713326606251e-7,1.888005572681095e-5,9.203415981505546e-10,0.0001487196383818269
-5.300855840661978e-7,2.0832359211908624e-5,9.130554843856257e-10,0.00013320734758083476
-4.761707153716488e-7,1.477814953343426e-5,9.080679293556823e-10,0.00014493171345196458
-7.444078901630569e-7,2.510799085087001e-5,1.126573762202822e-9,0.00022114394820673894
-6.979520850436405e-7,2.5452376989143488e-5,1.136242885005952e-9,0.00018926061596181472
-6.954258389840762e-7,2.9535241847788996e-5,1.1361539592321116e-9,0.00018928780403347498
-5.728309545871557e-7,2.4105116898986978e-5,1.113892718927776e-9,0.00024392691092310092
-6.064949824163834e-7,1.720685214490203e-5,1.1856987408469834e-9,0.00018060763309490842
-8.05453741176132e-7,2.899427028868473e-5,1.0397140555757352e-9,0.00018174926912557606
-5.632393443033568e-7,2.335935567288061e-5,1.202799118053189e-9,0.0002321366986273792
-6.441554892544499e-7,2.3144052689438865e-5,1.1796431074025551e-9,0.0002221910861591109
-7.423005436990593e-7,2.779690401411017e-5,1.2492525071465013e-9,0.0002415688914350475
-5.565449992944727e-7,1.9204628078028918e-5,1.2474332783661767e-9,0.0002651670346726877
-4.7322666404947533e-7,2.1246964070797958e-5,1.2088621788276804e-9,0.00021299789703877421
-5.807454268869083e-7,2.4872326632063846e-5,1.1947662259167726e-9,0.00022558812873783903
-5.034187456898209e-7,2.521154998458286e-5,1.0373111339101372e-9,0.0003238563356652823
-3.9155283272640506e-7,1.8361059219706988e-5,1.2256323955020304e-9,0.0002416072540188529
-2.1730455537771753e-7,1.0802154188027657e-5,1.1689952447322044e-9,0.00015339483121311716
-2.1816898088111714e-7,5.829610713270483e-6,1.2466073992564927e-9,0.0001565830022670311
-2.1178933320986637e-7,7.207585179358489e-6,1.2520167363342328e-9,0.0001401915336290012
-2.1178933320986637e-7,7.207585179358489e-6,1.2520167363342328e-9,0.0001401915336290012
-2.1734861896383073e-7,1.2201330292782586e-5,1.253432099073369e-9,0.00013475680325700945
-3.3717912237274383e-7,1.0507005441695583e-5,1.3404890676280211e-9,0.00015610315466553759
-3.517173933487161e-7,1.4467704088083622e-5,1.3337313529478078e-9,0.0001434036607249306
-2.5453290684873675e-7,4.737959899969724e-6,1.3765004632211872e-9,0.00014266954112002127
-2.76611784033598e-7,9.006179800152836e-6,1.3791545100546479e-9,0.00013573633124356067
-2.673726787888464e-7,7.373129088605879e-6,1.3834228525474915e-9,0.00013406972472898392
-2.7680116791717335e-7,1.1280631117216444e-5,1.3678034539593522e-9,0.00013525990733275796
-2.5576085654899217e-7,1.2790484339220143e-5,1.3889319077749184e-9,0.00013683224716485055
-2.5355662285064806e-7,1.0354526543743248e-5,1.3815596559201379e-9,0.00013100338307833807
-2.0065026165583255e-7,6.789340862844995e-6,1.4054622133177343e-9,0.00013649830241047384
-1.6014598838709482e-7,5.325874278483411e-6,1.5069236672334208e-9,0.00015527490557237222
-1.5972177273837485e-7,3.3168791082616167e-6,1.5047017414299063e-9,0.00014837290416750174
-9.730303168753451e-8,6.769956746310868e-7,1.315915306014927e-9,0.00013165954788283847
-9.714372349589606e-8,2.9996316124325517e-6,1.316665056791786e-9,0.0001319161405606339
-9.40841862057118e-8,7.102922746859974e-6,1.3490431222704184e-9,0.00013701772088660507
-9.45325485945947e-8,3.4424448553949105e-6,1.3479156088081948e-9,0.00013457249386239728
-9.516603315107286e-8,1.4516224728922111e-6,1.3597766748229951e-9,0.0001334247566351968
-8.947532943726078e-8,4.122750829615995e-6,1.3464700960615868e-9,0.00013057563375720746
-9.251750107686085e-8,2.679020504103846e-6,1.3470636270211617e-9,0.00013132987365394196
-1.3228521612840272e-7,-3.3118275624133275e-6,1.3557596372827983e-9,0.00016457833112646522
