a,b,c,σ
-5.982045286900828e-8,1.7589223304526058e-6,7.344165256001654e-10,2.0995769940638465e-5
-6.100408547760061e-8,2.3709776773017666e-6,7.374886180172735e-10,2.1335903082402762e-5
-6.251072839913441e-8,1.7624023920248533e-6,7.370890155648159e-10,2.180243805490019e-5
-6.251841849769235e-8,1.7515521193445238e-6,7.395653336024289e-10,2.157765943870633e-5
-6.246904014906018e-8,1.7068602771175279e-6,7.366345052730283e-10,2.1506108424710237e-5
-6.018703596621933e-8,2.393299457281728e-6,7.336957586023985e-10,2.1302761037537307e-5
-6.01564126706533e-8,1.679712556601487e-6,7.3347323672863e-10,2.1328770864228783e-5
-6.04014016442056e-8,1.6342273942981933e-6,7.455743788889602e-10,2.116386274059342e-5
-6.092598817120098e-8,1.6607688246850216e-6,7.453138986132262e-10,2.1609091187786162e-5
-6.088781642765717e-8,2.297223004710247e-6,7.422004537273702e-10,2.1075356614793302e-5
-6.055280220296222e-8,1.8303736313285413e-6,7.502753550021058e-10,2.0999491191226883e-5
-6.11509101827723e-8,2.0072486499600473e-6,7.483500943422599e-10,2.0961207016307882e-5
-6.033997836107918e-8,2.0147121801983303e-6,7.498125632263373e-10,2.0660931989335643e-5
-6.055560811124572e-8,1.9240594317793125e-6,7.446699810132176e-10,2.0787200483104537e-5
-6.085551937373701e-8,2.094310127986887e-6,7.445125410245465e-10,2.0800730080642173e-5
-6.05993192015486e-8,1.998594835406209e-6,7.463326360864033e-10,2.0956245661991218e-5
-6.05277665904902e-8,2.206019376060908e-6,7.502542593148528e-10,2.0120297860734396e-5
-5.934841670884872e-8,1.8637282330757898e-6,7.557452935653022e-10,2.09330029603711e-5
-5.993057904107868e-8,1.5083925735126513e-6,7.507945945443949e-10,2.17617194883844e-5
-5.964898375232508e-8,2.567775070794198e-6,7.483306137525007e-10,2.1657081399868318e-5
-6.000420674223683e-8,1.4044161327220195e-6,7.492314137383204e-10,2.1556264191398537e-5
-5.8712688238982125e-8,1.7265525356080502e-6,7.458096944732134e-10,2.13489277408858e-5
-6.013450007391619e-8,2.1443437967505474e-6,7.495812000752481e-10,2.189627254653971e-5
-6.167750135621652e-8,2.143253603037465e-6,7.501187722228411e-10,2.1260179036416853e-5
-5.995051140239571e-8,2.0119597152756796e-6,7.445929929507869e-10,2.1739785756087135e-5
-5.8996067670014085e-8,1.5590255282305066e-6,7.385926587347133e-10,2.2337319609180857e-5
-5.852098684810958e-8,1.1275590132697744e-6,7.389607329785914e-10,2.2429883313383177e-5
-5.83117447938708e-8,2.693620768212668e-6,7.410484544328597e-10,2.2394535607125698e-5
-5.8961924995215576e-8,2.201222327080643e-6,7.374444201649008e-10,2.2986420713409314e-5
-5.567415825580291e-8,1.7419434419352342e-6,7.40699317826078e-10,2.262691488344827e-5
-5.514689620234048e-8,1.8222016864299917e-6,7.397685963626808e-10,2.230548930713727e-5
-5.860131864487972e-8,1.963012023153965e-6,7.382305599179656e-10,2.2446805954771466e-5
-5.7629152422356e-8,1.7556395492945853e-6,7.428466388568617e-10,2.2463541531050665e-5
-5.6970097708775036e-8,1.9103086330574115e-6,7.397446163370661e-10,2.277004490878783e-5
-5.668618141552173e-8,2.13168325302604e-6,7.437467927661992e-10,2.3972230936479524e-5
