a,b,c,σ
-4.998295957403531e-7,1.743457847958041e-5,1.3598024435320282e-9,0.0001656860250910708
-4.998295957403531e-7,1.743457847958041e-5,1.3598024435320282e-9,0.0001656860250910708
-4.998295957403531e-7,1.743457847958041e-5,1.3598024435320282e-9,0.0001656860250910708
-5.002526778097316e-7,1.84784047050357e-5,1.3597795910432713e-9,0.00016572725870719535
-5.012959154171437e-7,1.8728923889987925e-5,1.3599341442176927e-9,0.00016545489779918267
-5.012959154171437e-7,1.8728923889987925e-5,1.3599341442176927e-9,0.00016545489779918267
-5.012959154171437e-7,1.8728923889987925e-5,1.3599341442176927e-9,0.00016545489779918267
-5.001456323261433e-7,1.351755609313443e-5,1.3598543496950234e-9,0.00016578094694718386
-4.997790904182065e-7,1.7634272480471225e-5,1.3601810996506453e-9,0.00016575673435885484
-5.008139841999881e-7,1.8981535313322695e-5,1.3602683621871243e-9,0.00016564577578213367
-5.02968633603329e-7,2.3444379256609693e-5,1.3608885990240884e-9,0.00016642223609480563
-5.022777149477076e-7,1.1098441946799653e-5,1.3604897686724662e-9,0.00016684391148477133
-5.022283408456785e-7,1.589556989856078e-5,1.3603433702763693e-9,0.00016765157774985018
-5.022283408456785e-7,1.589556989856078e-5,1.3603433702763693e-9,0.00016765157774985018
-5.01135155581145e-7,2.2280734534696478e-5,1.3605172524942377e-9,0.00016753879501558685
-5.005058432983045e-7,1.9725899428557625e-5,1.3611332450021613e-9,0.00016763479670407305
-5.005058432983045e-7,1.9725899428557625e-5,1.3611332450021613e-9,0.00016763479670407305
-5.009754704826674e-7,2.1762587396167987e-5,1.361178902583444e-9,0.00016761031611597476
-4.979044225111862e-7,1.3056451321880047e-5,1.3585866974706435e-9,0.00016756992641553438
-4.983532690960857e-7,1.932264104453907e-5,1.359586529115433e-9,0.0001691855288109255
-4.979516475406287e-7,1.2724392795426809e-5,1.358977155730275e-9,0.00016878321160534608
-4.970121646602488e-7,1.2053540578094157e-5,1.3595442951999945e-9,0.000168405946581882
-5.034841657897138e-7,2.213674400675103e-5,1.3592199415240905e-9,0.00016597677868587972
-5.031906755437188e-7,1.804968781549121e-5,1.3592334861950307e-9,0.0001664706195752388
-4.927771364571232e-7,1.6370601557014197e-5,1.3581509113481212e-9,0.00016574772462630785
-4.9327044426839e-7,1.8353893702638402e-5,1.3583410152542819e-9,0.00016573822160263264
-4.940341433445905e-7,1.034473730676666e-5,1.3583016446542546e-9,0.00016583723709977198
-4.943861906803182e-7,1.655257787458453e-5,1.3582973759139274e-9,0.00016533122742066868
-4.943861906803182e-7,1.655257787458453e-5,1.3582973759139274e-9,0.00016533122742066868
-4.943861906803182e-7,1.655257787458453e-5,1.3582973759139274e-9,0.00016533122742066868
-4.948682253702597e-7,1.4117001123636896e-5,1.3580039718168585e-9,0.00016542965611069735
-4.948682253702597e-7,1.4117001123636896e-5,1.3580039718168585e-9,0.00016542965611069735
-4.967375018816167e-7,1.63139792244138e-5,1.3581994545114523e-9,0.00016563790642021487
-4.967375018816167e-7,1.63139792244138e-5,1.3581994545114523e-9,0.00016563790642021487
-4.96018508988616e-7,1.96102173495305e-5,1.3589610021541346e-9,0.00016598261379421208
-4.943934484719081e-7,1.8587509400092017e-5,1.3589682662942202e-9,0.00016601335963864624
-4.931940344454766e-7,1.6992402948723395e-5,1.3589487633568896e-9,0.00016603257782337355
-4.931940344454766e-7,1.6992402948723395e-5,1.3589487633568896e-9,0.00016603257782337355
-4.931940344454766e-7,1.6992402948723395e-5,1.3589487633568896e-9,0.00016603257782337355
-4.934940845274793e-7,1.816882553740129e-5,1.3589494558042217e-9,0.00016585146512626436
-4.934060712502575e-7,1.866294075103525e-5,1.358675475737499e-9,0.00016538194441787835
-4.93717331573329e-7,1.5906673699994656e-5,1.358863636259264e-9,0.00016552271602433808
-4.93717331573329e-7,1.5906673699994656e-5,1.358863636259264e-9,0.00016552271602433808
-4.942032338084434e-7,1.5479324234846104e-5,1.3586398504190232e-9,0.00016540955917834934
-4.934653489579999e-7,1.3855006796070768e-5,1.3584865649643165e-9,0.00016580921141343165
-4.91469250421539e-7,1.5046190271483795e-5,1.3582450547637052e-9,0.00016623305171608948
-4.914043301579296e-7,1.6045411075360505e-5,1.3583830397742303e-9,0.00016590703753325612
-4.914043301579296e-7,1.6045411075360505e-5,1.3583830397742303e-9,0.00016590703753325612
-4.914043301579296e-7,1.6045411075360505e-5,1.3583830397742303e-9,0.00016590703753325612
-4.913672969342198e-7,1.6281046447019776e-5,1.3579857219304e-9,0.00016568429277441678
-4.913672969342198e-7,1.6281046447019776e-5,1.3579857219304e-9,0.00016568429277441678
-4.924997990540803e-7,1.5758749920991022e-5,1.357879212422353e-9,0.00016574095737161178
-4.924997990540803e-7,1.5758749920991022e-5,1.357879212422353e-9,0.00016574095737161178
-4.913127388123106e-7,1.781520102905887e-5,1.3577908498720647e-9,0.00016548478860478437
-4.913127388123106e-7,1.781520102905887e-5,1.3577908498720647e-9,0.00016548478860478437
-4.913127388123106e-7,1.781520102905887e-5,1.3577908498720647e-9,0.00016548478860478437
-4.90699714833509e-7,1.966873268255398e-5,1.3579767767469872e-9,0.00016570078163225465
-4.90699714833509e-7,1.966873268255398e-5,1.3579767767469872e-9,0.00016570078163225465
-4.929183716334551e-7,1.924717952661581e-5,1.3577450482401342e-9,0.0001660533276073247
-4.923066869305659e-7,1.7665218905449365e-5,1.3576407588370068e-9,0.0001658317016315123
-4.923066869305659e-7,1.7665218905449365e-5,1.3576407588370068e-9,0.0001658317016315123
-4.923066869305659e-7,1.7665218905449365e-5,1.3576407588370068e-9,0.0001658317016315123
-4.914991403731639e-7,1.716348861080519e-5,1.357832556444832e-9,0.00016584982680537344
-4.957046285947175e-7,1.5652248618991393e-5,1.3570140517299743e-9,0.00016562294139671368
-4.957046285947175e-7,1.5652248618991393e-5,1.3570140517299743e-9,0.00016562294139671368
-4.957046285947175e-7,1.5652248618991393e-5,1.3570140517299743e-9,0.00016562294139671368
-4.962210177067439e-7,1.2058177761176125e-5,1.3570185907384775e-9,0.0001654988642321746
-4.956918997212068e-7,1.5997426614511312e-5,1.3572590491330378e-9,0.00016544556992436387
-4.960079271060236e-7,1.710013728217774e-5,1.358223899521299e-9,0.00016578808381735187
-4.967824615842442e-7,1.3540668348355211e-5,1.3583683922363866e-9,0.0001655288984427512
-4.957401211896917e-7,1.6188103791670017e-5,1.3586444634252625e-9,0.0001655985352124329
-4.957401211896917e-7,1.6188103791670017e-5,1.3586444634252625e-9,0.0001655985352124329
-4.974491881193366e-7,1.5894287495044068e-5,1.3585628942491993e-9,0.0001655565446475736
-4.963087121140353e-7,1.8893349425397332e-5,1.3570125785498901e-9,0.00016520348551540086
-4.965320656996619e-7,1.4977687706974052e-5,1.357566498328045e-9,0.00016519965511206143
-4.978706176494985e-7,1.438668772735241e-5,1.3575153213990899e-9,0.0001652017177640977
-4.978706176494985e-7,1.438668772735241e-5,1.3575153213990899e-9,0.0001652017177640977
-4.980953743072281e-7,1.7400179110893532e-5,1.3572305307919164e-9,0.00016530911647245536
-4.998007467893473e-7,2.0570215591320107e-5,1.358361192969173e-9,0.0001644899910718951
-4.998007467893473e-7,2.0570215591320107e-5,1.358361192969173e-9,0.0001644899910718951
-4.998007467893473e-7,2.0570215591320107e-5,1.358361192969173e-9,0.0001644899910718951
-4.990886366823544e-7,2.0442732004077868e-5,1.3588344561313989e-9,0.00016430615340203266
-4.990886366823544e-7,2.0442732004077868e-5,1.3588344561313989e-9,0.00016430615340203266
-5.001288082701061e-7,1.271279895487254e-5,1.3592288475754442e-9,0.0001643105794552221
-5.012387959829612e-7,1.6412153587275213e-5,1.3590791349167798e-9,0.00016474248599253436
-5.012387959829612e-7,1.6412153587275213e-5,1.3590791349167798e-9,0.00016474248599253436
-5.012387959829612e-7,1.6412153587275213e-5,1.3590791349167798e-9,0.00016474248599253436
-5.012387959829612e-7,1.6412153587275213e-5,1.3590791349167798e-9,0.00016474248599253436
-5.014660194868625e-7,2.0256310265587274e-5,1.359025843551767e-9,0.00016505178574701692
-5.014570475248004e-7,1.3908826174358069e-5,1.3591522613011865e-9,0.0001652818907627915
-5.035530636632313e-7,1.634813583262229e-5,1.3591753165132047e-9,0.0001655991361122911
-5.035530636632313e-7,1.634813583262229e-5,1.3591753165132047e-9,0.0001655991361122911
-5.059385049521747e-7,1.659560019273698e-5,1.3596489840610554e-9,0.00016546499207032998
-5.049194563983006e-7,1.4534725938375459e-5,1.359527253848e-9,0.00016509802906160802
-5.04713601301443e-7,2.165230954531694e-5,1.3600613693014946e-9,0.00016395281432052505
-5.049520972050248e-7,1.863591098327788e-5,1.3598746802558467e-9,0.00016418321991107143
-5.063917370012883e-7,1.8657879784278464e-5,1.3594499470232376e-9,0.0001635938206766073
-5.063917370012883e-7,1.8657879784278464e-5,1.3594499470232376e-9,0.0001635938206766073
-5.063917370012883e-7,1.8657879784278464e-5,1.3594499470232376e-9,0.0001635938206766073
-5.058377778588419e-7,1.6266927590713465e-5,1.3594643737191744e-9,0.00016329787529121233
-5.058377778588419e-7,1.6266927590713465e-5,1.3594643737191744e-9,0.00016329787529121233
-5.055915703738867e-7,1.57199621000359e-5,1.3598064791757833e-9,0.00016314683649995315
-5.066757594734961e-7,1.9089449984299733e-5,1.3598791634704109e-9,0.0001632711879579708
-5.078789355184021e-7,1.2986084541033449e-5,1.3592226042553556e-9,0.00016451399167862466
-5.087960665284275e-7,1.8507129462719263e-5,1.3591872534830153e-9,0.0001647784073101744
-5.090004832480899e-7,1.801733084949575e-5,1.3595064199905337e-9,0.00016485448373118253
-5.090004832480899e-7,1.801733084949575e-5,1.3595064199905337e-9,0.00016485448373118253
-5.088773015748949e-7,2.3623635424740996e-5,1.359672319272709e-9,0.0001647910788810095
-5.073143564959803e-7,1.1520195669412203e-5,1.3597751862645263e-9,0.00016486722897953628
-5.064811360311339e-7,1.9765618937128693e-5,1.3595575072099832e-9,0.00016484166863125018
-5.064811360311339e-7,1.9765618937128693e-5,1.3595575072099832e-9,0.00016484166863125018
-5.064811360311339e-7,1.9765618937128693e-5,1.3595575072099832e-9,0.00016484166863125018
-5.064811360311339e-7,1.9765618937128693e-5,1.3595575072099832e-9,0.00016484166863125018
-5.064811360311339e-7,1.9765618937128693e-5,1.3595575072099832e-9,0.00016484166863125018
-5.064325712400564e-7,2.1733272690838135e-5,1.3597454664397514e-9,0.00016517686554084194
-5.064325712400564e-7,2.1733272690838135e-5,1.3597454664397514e-9,0.00016517686554084194
-5.070379896915389e-7,1.3410189467322198e-5,1.3600170057266228e-9,0.00016509259220474784
-5.0677330730442e-7,1.3042949071007115e-5,1.360021049629899e-9,0.00016553520476483025
-5.0677330730442e-7,1.3042949071007115e-5,1.360021049629899e-9,0.00016553520476483025
-5.080174097921164e-7,1.6843699021329428e-5,1.3599110133562422e-9,0.00016514067665094215
-5.07583286096791e-7,1.609570082017342e-5,1.3600668866407027e-9,0.0001648883680298584
-5.066570540612769e-7,1.3659282848799137e-5,1.3602576380923691e-9,0.00016468812591732295
-5.063561088897162e-7,1.8472676778458208e-5,1.359973301919514e-9,0.0001650953893009937
-5.063561088897162e-7,1.8472676778458208e-5,1.359973301919514e-9,0.0001650953893009937
-5.069656274919732e-7,1.9436704885578138e-5,1.3600382004523617e-9,0.00016514481681219757
-5.063838895702499e-7,2.0513769058538855e-5,1.360264473772326e-9,0.00016518861498221842
-5.056910001577375e-7,1.3917657529560756e-5,1.360382829332269e-9,0.00016492605284772966
-5.06059241817125e-7,1.674229063031163e-5,1.3607253630696732e-9,0.00016485404871961575
-5.080248035860269e-7,2.2620253372629406e-5,1.3605919508350227e-9,0.0001647688565021144
-5.086500495521395e-7,1.8288258107901356e-5,1.3604616189810988e-9,0.00016510724645186432
-5.090253377831866e-7,2.178421358234317e-5,1.360864441452508e-9,0.00016568813483706848
-5.105972785968138e-7,1.6770294124945906e-5,1.360590750441269e-9,0.00016574291685526307
-5.102840613113724e-7,1.3232312523925316e-5,1.3606872789423601e-9,0.00016590527613927038
-5.102055078282097e-7,2.216379771091681e-5,1.3603877228866222e-9,0.00016561361083615545
-5.096683731442564e-7,1.2410150683095367e-5,1.3594872575192304e-9,0.00016546570481789917
-5.096683731442564e-7,1.2410150683095367e-5,1.3594872575192304e-9,0.00016546570481789917
