a,b,c,σ
-1.286037424053088e-7,3.122170650016187e-6,8.346728026963793e-10,5.956654238868012e-5
-1.2114379174810175e-7,4.6976659655584285e-6,8.329190952041558e-10,5.967773278010172e-5
-1.2558983945865076e-7,3.1886844782391677e-6,8.30667473142819e-10,6.04882437965209e-5
-1.2407765120903136e-7,5.1489459762521506e-6,8.285690817400605e-10,6.081350012467212e-5
-1.285114516330621e-7,3.2963652127904197e-6,8.327606890500544e-10,6.168624286405538e-5
-1.2746587237100204e-7,3.702349586021114e-6,8.263863166142033e-10,6.144926785988595e-5
-1.2294240410437585e-7,6.193631669759725e-6,8.294696082252131e-10,6.007258984589665e-5
-1.1937790087013234e-7,2.2601108184971963e-6,8.299451050021144e-10,6.111543127172624e-5
-1.1721377757289986e-7,4.120340302726788e-6,8.284618070389459e-10,6.0057789793104334e-5
-1.145672729047087e-7,3.002935826224018e-6,8.295137771189147e-10,6.022619938316928e-5
-1.1290882095948973e-7,4.370418360544193e-6,8.279051095764982e-10,6.050999436334458e-5
-1.1345741748880478e-7,3.5303135241804284e-6,8.288734128739573e-10,5.9352341385311727e-5
-1.1253929166343823e-7,4.5882065533575656e-6,8.266529109418757e-10,5.827003281779328e-5
-1.1269191355078867e-7,4.78889836319496e-6,8.315836307604751e-10,5.919228375363822e-5
-1.1232015675877172e-7,5.121373433780718e-6,8.370803076410937e-10,5.8761009330654707e-5
-1.1337404419442532e-7,4.922514018623758e-6,8.375669848267302e-10,5.84292157891335e-5
-1.0996339948332601e-7,1.8098335461402826e-6,8.382612798308716e-10,5.87589264030052e-5
-1.1033034935659103e-7,4.032688848631949e-6,8.364762985810321e-10,5.93301944117182e-5
-1.1053067019983764e-7,3.3503912844068395e-6,8.351180158578334e-10,5.906998023890454e-5
-1.1063801008681651e-7,4.02949126510066e-6,8.354211327450719e-10,5.936423544666074e-5
-1.1800406606032876e-7,4.082072924127544e-6,8.312656349455925e-10,6.0813602986025574e-5
-1.2015435114920425e-7,4.652508208025097e-6,8.321027396644162e-10,5.9652181012047566e-5
-1.1798896887293964e-7,3.8565499353993005e-6,8.288296871598855e-10,5.965936685556928e-5
-1.1180117903686337e-7,3.7889146673464325e-6,8.305372942674754e-10,5.819956854373083e-5
-1.1496350513229281e-7,3.8101587795935643e-6,8.26284617960862e-10,5.7847405242740654e-5
-1.1679539638209668e-7,3.962837717530476e-6,8.160598937286434e-10,5.946796421369785e-5
-1.1656618037481081e-7,4.152467812268412e-6,8.167549212134289e-10,5.9119838372852946e-5
-1.179414103325005e-7,4.52013841290011e-6,8.15567444605884e-10,5.894763275831039e-5
-1.1812746739114921e-7,4.768735228921628e-6,8.154239596682473e-10,5.851037115774889e-5
-1.097959917706337e-7,3.8095439620633442e-6,8.168612676765027e-10,5.909060455133163e-5
-1.0968057984062085e-7,3.8476489025995875e-6,8.142219699275538e-10,5.9031021034915005e-5
-1.1385921017126321e-7,4.536628381401897e-6,8.102884351715383e-10,5.755155299886162e-5
-1.0734593527961245e-7,2.890059061400052e-6,8.118569608096209e-10,5.961227703182524e-5
-1.0714515488730036e-7,1.7115313921678421e-6,8.117282914290154e-10,6.019941378752163e-5
-1.0830127074312745e-7,2.490220681217181e-6,8.07954568998367e-10,6.005367099308629e-5
-1.0227289060082967e-7,2.8120117692154167e-6,8.083016724041489e-10,6.267101835604121e-5
-1.0170914535589937e-7,3.4354571241124177e-6,8.105501810009765e-10,6.42608631472046e-5
-1.0435845018696988e-7,3.4298311790692537e-6,8.070009237782738e-10,6.477735577080292e-5
-1.0028946899331981e-7,3.3671130106327496e-6,8.119816471005492e-10,6.640522597911477e-5
-1.0155054097626959e-7,3.16079772932909e-6,8.113330379934931e-10,6.474385214328706e-5
-1.0125671294491934e-7,2.7379816645023425e-6,8.102668101821662e-10,6.336486854398402e-5
-1.0000442705881962e-7,3.0397663506320782e-6,8.121739604648138e-10,6.537160138768087e-5
-1.0253938036164367e-7,4.505556360001606e-6,8.119310065294336e-10,6.773639269918428e-5
-1.0472574570041804e-7,4.518903786276951e-6,8.17792538815817e-10,6.587484863902984e-5
-9.976156560564942e-8,2.8933538640529832e-6,8.158323631171137e-10,6.456017060349141e-5
-9.969355800609758e-8,4.539474048215197e-6,8.166384386309907e-10,6.465494958626703e-5
-1.0126948279953751e-7,2.974351303031142e-6,8.160622627758778e-10,6.469290725108853e-5
-1.027715302581722e-7,3.7244271515746163e-6,8.17750430396039e-10,6.428771443287097e-5
-1.0304445249853522e-7,4.712567966080883e-6,8.179223907703484e-10,6.438271103430509e-5
-1.0330918756573659e-7,2.1516307873170604e-6,8.201851802747252e-10,6.486020267156124e-5
-1.0284642545932421e-7,2.3632528511896567e-6,8.168962900485534e-10,6.628986851722557e-5
-1.03117944710851e-7,4.5709110390035335e-6,8.189867193002134e-10,6.690083177242336e-5
-1.0104974480784623e-7,1.4140368156390082e-6,8.236864278253963e-10,6.557190581962375e-5
-9.954848914639491e-8,1.3594872720901208e-6,8.253663023919514e-10,6.536850667631664e-5
-9.97166393623683e-8,4.287047733697591e-6,8.254335419822468e-10,6.49097101601243e-5
-1.0271946057627268e-7,2.5646279873114963e-6,8.223563669878107e-10,6.354959081291824e-5
-1.033857375543068e-7,5.135093079644548e-6,8.261357332101246e-10,6.224685073105335e-5
-1.0791198154502801e-7,2.4687394439837362e-6,8.264898270998174e-10,6.034709142210466e-5
-1.093330191104247e-7,2.65117055064934e-6,8.241822230496857e-10,6.110180410545443e-5
-1.1051838283426818e-7,5.388158733410364e-6,8.250070950403324e-10,6.107134895757659e-5
-1.0978780337622673e-7,3.915181935099099e-6,8.248756564791967e-10,6.04968922998857e-5
-1.1670973842914378e-7,3.480148365930802e-6,8.264983338104122e-10,6.122050815351918e-5
-1.106023571756376e-7,3.2426356950665536e-6,8.258063816624449e-10,5.882186598688661e-5
-1.0822745191707561e-7,3.111487624885001e-6,8.23849983568707e-10,5.8861795858315906e-5
-1.1159425929163636e-7,2.9776969148187504e-6,8.214191522979814e-10,5.7148159192330056e-5
-1.0552585331946585e-7,4.163778742238833e-6,8.228591134134117e-10,5.732913050562563e-5
-1.0657934262914281e-7,3.200610855458308e-6,8.206151443657525e-10,5.723042204641022e-5
-1.064224429414562e-7,2.9470554538946203e-6,8.189686185507537e-10,5.8000812690470076e-5
-1.0364899823145368e-7,3.525864507913923e-6,8.204276096528439e-10,5.686377802719867e-5
-1.0335112618498066e-7,3.3335943037116067e-6,8.188689679079226e-10,5.626236486643032e-5
-9.467779267524623e-8,3.421565428318729e-6,8.115546044351257e-10,5.780991275002444e-5
-9.254600248642664e-8,3.880841810577351e-6,8.092063052230603e-10,5.794205195449639e-5
-9.120810770535392e-8,4.676491915489578e-6,8.09991769295639e-10,5.728420467458901e-5
-8.912192339671776e-8,3.128239003835631e-6,8.05279453040242e-10,5.818949412586309e-5
-8.4882874160086e-8,2.944985832975533e-6,8.002534128530329e-10,5.839845496174459e-5
