a,b,c,σ
5.9406186240716995e-9,0.23255793242805717,1.0627870514397059e-9,5.15479745891981e-9
8.009796352044869e-9,0.2548095544239378,1.2650718194312135e-9,4.829269640293757e-9
6.414473654103428e-9,0.2258445080503069,1.2051440104240605e-9,1.0734224202096162e-8
8.157046834516885e-9,0.2780164588482471,9.006989275104974e-10,8.120494062213957e-9
1.0663034646882659e-8,0.07042897666371557,2.513715930779069e-9,5.986264022533072e-9
8.37775849104691e-9,0.10065194240671017,2.627646948177235e-9,6.195143522231008e-9
3.823805683198616e-9,0.3208013601512003,3.62727533884438e-10,7.870247543184524e-9
4.9418118025722745e-9,0.39639925232575646,2.407963915438871e-10,5.147450937079357e-9
4.975836987103277e-9,0.3172742765780499,4.426780364969567e-10,6.067549579384214e-9
9.186825581758746e-9,0.15928455764745714,1.0083607376815532e-9,5.264369804540644e-9
5.32391007970068e-9,0.31944339543601014,1.1982370504333763e-9,4.7396474543269965e-9
5.121549850241332e-9,0.32869391014376487,1.7599193973092004e-9,5.496640604159184e-9
4.858856170109863e-9,0.32556867838307413,6.701768887467389e-10,5.9929936423773494e-9
4.344612927772716e-9,0.3323712344135767,6.953197992844665e-10,7.2547399303847345e-9
6.056469616721181e-9,0.34882722933378396,5.739984225070027e-10,6.488836248211891e-9
1.0730886194518996e-8,0.14918892834795588,8.203343630155712e-10,5.168119071620548e-9
7.485974146966018e-9,0.2257406837786277,7.390171026163192e-10,7.0811551833114315e-9
8.018100232503596e-9,0.17919504274210002,7.222247049028487e-10,5.8226774449476114e-9
1.0061671337017183e-8,0.150601978921799,1.306043069363255e-9,3.829019612081707e-9
3.965659002909216e-9,0.41367155867342326,2.029128044463654e-9,5.762133278544336e-9
6.2501820413616576e-9,0.32770085384370734,2.6062792019023065e-9,2.6878212636234543e-8
7.003855288347794e-9,0.3117777685607931,1.8296335258431883e-9,1.3017694787331542e-8
6.801112789261406e-9,0.21137884129071707,4.534475804473983e-9,7.10120369589056e-9
8.084189394610768e-9,0.17168769337859585,1.3503266116127264e-9,4.711399243367822e-9
8.037068831698734e-9,0.22383674360263422,8.857079663638556e-10,4.5175669668390344e-9
8.037068831698734e-9,0.22383674360263422,8.857079663638556e-10,4.5175669668390344e-9
7.706348731155194e-9,0.1931341108644771,8.438780804415664e-10,5.722021817537508e-9
6.8935995515664205e-9,0.17389843051020876,1.2950269303478309e-9,4.4082029094929686e-9
8.813427624119645e-9,0.23432520618468902,8.122268078944784e-10,6.212130192935203e-9
1.2709715554247206e-8,0.11920789045409629,4.396558374544055e-10,5.778739410978637e-9
9.383856074957706e-9,0.11429896199676036,3.0257134388438457e-10,8.19667304956881e-9
8.039076379029955e-9,0.07722085075771372,1.0551477199081852e-9,8.40618144037663e-9
9.163234200467518e-9,0.09455894042037057,8.819874029860288e-10,9.141873328627096e-9
9.00607563325063e-9,0.11387140010799572,1.2715698192309545e-9,4.211576880483871e-9
9.00607563325063e-9,0.11387140010799572,1.2715698192309545e-9,4.211576880483871e-9
9.389720173747766e-9,0.21419267768895767,2.569607645746984e-10,5.174944290397373e-9
6.881644585966587e-9,0.18822059740504893,4.779261609506281e-10,5.903324643042863e-9
7.444542187573028e-9,0.23510950874531691,5.89049599681327e-10,5.791737855711229e-9
5.925449636346509e-9,0.29135664625072727,4.5446984973017993e-10,1.1999538662814504e-8
6.749306491885794e-9,0.2533522001947617,1.2435782509037556e-9,3.5683226408079153e-9
9.128094265237509e-9,0.15888024496013484,9.497907672371334e-10,5.377574478582367e-9
8.8986124313617e-9,0.2033735922847697,6.088100259978079e-10,7.979750454928812e-9
5.896476874593025e-9,0.13768990766218814,1.7953387503828102e-9,6.845386345614291e-9
6.901982526553403e-9,0.1415177752362374,2.0169773986749193e-9,8.391357774086424e-9
7.440789111635138e-9,0.13846936146418848,1.9077519905730986e-9,7.810326760246835e-9
1.3961421457661388e-8,0.14785374333678913,1.861812202848233e-9,1.0315497096496893e-8
8.780602909887947e-9,0.1027691180984649,1.6882887467394796e-9,7.568527332801195e-9
1.0123504066886497e-8,0.157110324596305,1.944711546525124e-9,5.432637315430112e-9
1.1978036119415955e-8,0.2699633329551484,6.244764510365982e-10,1.5526511910838116e-8
1.399647106459187e-8,0.15165151355440354,2.0008276944994434e-9,1.374581640414247e-8
1.1894572760016885e-8,0.23181872192833916,3.3914409160796053e-10,1.7737300655814388e-8
1.3449952146405459e-8,0.18282347318659825,6.695374681066523e-10,1.5362267476246877e-8
1.0766868679458913e-8,0.1302950043262891,6.076105081741038e-10,6.7891469169643685e-9
1.0016389748305196e-8,0.18794332296003385,1.5001467293382734e-10,6.671180752108485e-9
9.907738967971545e-9,0.2230362413803044,2.977760670905728e-10,1.0761959750006993e-8
1.855420575637464e-8,0.14663034257075977,7.692518250131637e-10,3.089865483451484e-8
