a,b,c,σ
4.426243312271281e-9,0.22069525013156793,4.075251620594001e-10,1.299296065452409e-8
5.311837733544015e-9,0.20772375050539466,3.486165509258323e-10,6.435261117231017e-9
1.3699656276322804e-8,0.06686800652643934,3.840155848042662e-10,1.8380616466476884e-8
1.6023213302607605e-8,0.0887742525756182,3.7737564830089136e-10,1.1018906915166975e-8
5.400305386998798e-9,0.173109468442182,2.1589171755778285e-10,1.8655477272180075e-8
7.1858198758285974e-9,0.2102701930233316,1.5995187958220994e-10,1.589648758708008e-8
4.467350805862319e-9,0.06994833671193577,1.0623547922846648e-9,4.0970284883665445e-9
3.981782132861151e-9,0.08174490529353061,8.627539481194754e-10,6.273865417083541e-9
1.5849311162363432e-9,0.24515430509067548,5.001096541567783e-10,3.477097786309622e-9
3.5929590761603682e-9,0.10032932477559464,6.240587002703896e-10,6.368195926358746e-9
1.3118096861333344e-9,0.23310565969182762,9.67408061409954e-10,3.751336793453369e-9
2.8255273077807804e-9,0.11184859044368538,4.0409217391639585e-10,5.3999547058027175e-9
5.725743395149059e-9,0.08342957219078077,4.792806000174647e-10,2.9700303758793104e-9
1.0691445662482506e-9,0.12510766380319252,6.135770343247225e-10,4.098267530342073e-9
4.932715442828749e-9,0.14111534088781766,1.2860932078751623e-9,5.933261522744764e-9
4.932715442828749e-9,0.14111534088781766,1.2860932078751623e-9,5.933261522744764e-9
3.4766161344209357e-9,0.18851416690972225,5.386898675734888e-10,6.1667830650332824e-9
1.0123517927299404e-8,0.13592871255665243,8.034938984899282e-10,1.4664785664064715e-8
7.3848831721716735e-9,0.1339082851727921,1.0628073719918582e-9,1.2181583903370176e-8
3.4855094775451137e-9,0.1754070536967414,3.706314853651973e-10,3.5824866677282125e-9
2.2735527564778457e-9,0.21028382984965568,1.0802437969210193e-9,4.905360449327422e-9
2.7328628186336e-9,0.24806321072467372,5.665505563188304e-10,7.599947743633897e-9
1.9061582921095227e-9,0.10374441662534031,6.824478920543724e-10,2.544512730024503e-9
3.812674277087708e-9,0.1896830725798797,6.35538182192878e-10,5.058350148209047e-9
