a,b,c,σ
1.9425627923356136e-8,0.21018770721972696,4.533378100633142e-10,1.160763383862828e-8
5.574623013668433e-9,0.5420841581408424,2.196670413977706e-9,1.1396498977673846e-8
8.27911102128172e-9,0.46818199584958176,2.3075363549698957e-9,8.330146754669098e-9
8.27911102128172e-9,0.46818199584958176,2.3075363549698957e-9,8.330146754669098e-9
8.27911102128172e-9,0.46818199584958176,2.3075363549698957e-9,8.330146754669098e-9
1.1851131417358035e-8,0.38300227437369544,3.29358329440767e-10,1.3456070078593397e-8
1.0752791368212912e-8,0.3163971767467819,4.4724308369262904e-10,1.3163211268305294e-8
1.366778195771661e-8,0.33272785040916875,4.215747345001649e-10,1.8144123333868604e-8
1.762118999233e-8,0.26731157005717526,1.7654960797577935e-9,1.7396432773161584e-8
1.8883692975170298e-8,0.22794509844776245,7.354942147227918e-10,1.1798589188622984e-8
2.1954127018855837e-8,0.20351983498812692,7.40636582707567e-10,1.8573731785551268e-8
1.6626588949838367e-8,0.2976391117326355,2.22715164752875e-10,1.7193615980491758e-8
1.5751872761255095e-8,0.3515105460565417,4.697830753793527e-10,1.1303767592420189e-8
1.733765811825933e-8,0.20216521016156527,1.7799960097133958e-9,1.6331771879694713e-8
2.4105118559593863e-8,0.19437350692075572,1.5349842484265324e-9,1.4131426999421374e-8
1.8100203065724584e-8,0.2033948768448892,7.902640185709865e-10,1.1564235388131191e-8
1.4971128180226635e-8,0.2598174235177937,3.750592202821938e-10,1.2793319905004302e-8
1.5799248728611396e-8,0.30632639700782366,2.517516661799138e-10,1.1990585669145763e-8
1.5799248728611396e-8,0.30632639700782366,2.517516661799138e-10,1.1990585669145763e-8
1.5799248728611396e-8,0.30632639700782366,2.517516661799138e-10,1.1990585669145763e-8
1.5799248728611396e-8,0.30632639700782366,2.517516661799138e-10,1.1990585669145763e-8
1.5799248728611396e-8,0.30632639700782366,2.517516661799138e-10,1.1990585669145763e-8
1.9469236007559325e-8,0.23415159142467926,5.709916768909612e-10,1.9904876875221706e-8
1.76516083975214e-8,0.22486062587789918,5.77281270611314e-10,2.390807380593583e-8
1.2210730609718083e-8,0.3130645095822049,3.961579808246227e-9,9.188361215745934e-9
1.5793936751094394e-8,0.29311777087702506,2.0772264269432966e-9,1.0256300394968486e-8
1.3453889049589365e-8,0.33892398082150843,1.55729194986484e-9,8.369793377872613e-9
1.2928757933200446e-8,0.3805977684377801,1.4071105775255655e-9,9.328728090498575e-9
1.2928757933200446e-8,0.3805977684377801,1.4071105775255655e-9,9.328728090498575e-9
1.4384638603170274e-8,0.3025920929575807,1.7257121338574397e-9,7.924603383193436e-9
