a,b,c,σ
3.110850664037944e-8,0.21338946114802163,1.8658570560848265e-9,1.4469136585174539e-8
2.7035568296958276e-8,0.1796634544792883,1.7078079198614414e-9,1.4446745471380221e-8
1.7442185252973475e-8,0.2168900167272063,5.53655845320046e-10,1.9853125200512312e-8
2.8615925414711585e-8,0.1843531105679178,1.6411040009421662e-9,2.134786294259711e-8
1.0464364594464941e-8,0.4264180115236332,5.940980058681043e-10,2.763933702023458e-8
1.2251280988298083e-8,0.5139593052059419,4.929343973807484e-10,3.1756844647657857e-8
1.8363924779529636e-8,0.27526649606659087,6.617137147888223e-10,1.1064320234926863e-8
2.4024318499293278e-8,0.21710609445811097,5.131034882601201e-10,2.245760037725219e-8
1.3296318134956137e-8,0.4292402146669754,6.205788401530819e-10,3.079316903700126e-8
8.829845295717066e-9,0.45555142829153594,4.755396395538816e-10,1.8921002679763996e-8
2.1193595260461312e-8,0.18534407127353958,1.8186795033738309e-9,1.3466207150328914e-8
1.9627836213063736e-8,0.2529902333160004,6.005169341723957e-10,1.927498742286936e-8
1.0172136402786969e-8,0.4597468279964235,3.213239190729849e-9,1.0102905067089573e-8
6.068727531116791e-9,0.5643090691338483,4.864568843862452e-10,1.0872935993553249e-8
7.119332739320809e-9,0.5982598684570485,8.867735960907746e-10,1.1286232931760262e-8
4.715327683784182e-9,0.618792682676967,1.704200022912223e-9,2.404767122561592e-8
3.3689833763832572e-9,0.598154709744928,1.411496296508541e-9,2.216242945665031e-8
4.80266807595147e-9,0.7333092188453514,7.454159822384323e-10,2.77054714722088e-8
4.794575050282264e-9,0.6932718539941722,6.537546949546109e-10,2.9525607021305198e-8
8.00854394482258e-9,0.4665518558468968,3.1835182913448187e-10,1.0025097916640489e-8
8.300578622057936e-9,0.5350825941986409,3.565019462056345e-10,1.0139471650720406e-8
1.1839821312799066e-8,0.4343261241561156,2.759548374062585e-9,1.4703819760320018e-8
1.2973128290298875e-8,0.40339186247121445,2.9909670828866224e-9,1.6470879254820383e-8
1.7854637709887633e-8,0.1997006351900529,4.998637365949982e-10,2.2486852677019155e-8
3.462553263563825e-8,0.22838608724913761,6.839272296485419e-10,3.861811105500587e-8
2.6224248071285075e-8,0.1272909130998563,4.3304860971212277e-10,3.149751425376226e-8
3.174518988033437e-8,0.11277355588841,3.3808334928504584e-10,3.251277455262451e-8
5.566959646252863e-9,0.5989268054042651,1.4380617509824728e-9,2.32908477565534e-8
5.7352007871510595e-9,0.5870766618786203,8.388070282562805e-10,2.112685460754578e-8
1.2312419551220542e-8,0.45422764976977786,8.081417576240156e-10,1.846169175318336e-8
1.3088222672117538e-8,0.43864480959686786,8.31771740884776e-10,2.1256088438192226e-8
2.9542775200828388e-8,0.13452028868260227,8.496941054633449e-10,1.5111067627923798e-8
3.173547097371553e-8,0.1313206692109085,9.161475782280058e-10,1.5155138577445726e-8
1.2196716573580305e-8,0.42824082651084505,9.901836413601303e-10,1.5291815941826697e-8
2.2803362149500417e-8,0.12333540453987075,2.7602311549170497e-10,1.747193043114834e-8
1.0745036957390059e-8,0.29652690326294107,9.057143337746108e-10,1.596097958070564e-8
1.682966280368815e-8,0.37642198124965826,1.1211274904883288e-9,1.5970849962645066e-8
