DAY;SALINITY;REPLICATE;LIGHT;PLATE;WELL;DILUTION;FLOWRATE;COUNTS;CONCENTRATION
0;40;1;Yes;3;E1;40;8.01;2096;10466916.35
0;40;2;Yes;3;E2;40;8.01;2257;11270911.36
0;30;1;Yes;3;E3;40;8.01;2246;11215980.02
0;30;2;Yes;3;E4;40;8.01;2266;11315855.18
0;15;1;Yes;3;E5;40;8.01;2508;12524344.57
0;15;2;Yes;3;E6;40;8.01;2201;10991260.92
0;5;1;Yes;3;E7;40;8.01;1822;9098626.717
0;5;2;Yes;3;E8;40;8.01;1821;9093632.959
0;33;1;Yes;3;E9;40;8.01;2349;11730337.08
0;33;2;Yes;3;E10;40;8.01;2402;11995006.24
3;40;1;Yes;3;F1;40;8.01;1677;8374531.835
3;40;2;Yes;3;F2;40;8.01;1657;8274656.679
3;30;1;Yes;3;F3;40;8.01;1590;7940074.906
3;30;2;Yes;3;F4;40;8.01;1747;8724094.881
3;15;1;Yes;3;F5;40;8.01;1822;9098626.717
3;15;2;Yes;3;F6;40;8.01;1798;8978776.529
3;5;1;Yes;3;F7;40;8.01;1550;7740324.594
3;5;2;Yes;3;F8;40;8.01;1510;7540574.282
3;33;1;Yes;3;F9;40;8.01;1577;7875156.055
3;33;2;Yes;3;F10;40;8.01;1177;5877652.934
7;40;1;Yes;3;G1;40;8.01;1247;6227215.98
7;40;2;Yes;3;G2;40;8.01;1008;5033707.865
7;30;1;Yes;3;G3;40;8.01;1478;7380774.032
7;30;2;Yes;3;G4;40;8.01;1227;6127340.824
7;15;1;Yes;3;G5;40;8.01;1066;5323345.818
7;15;2;Yes;3;G6;40;8.01;1301;6496878.901
7;5;1;Yes;3;G7;40;8.01;1017;5078651.685
7;5;2;Yes;3;G8;40;8.01;995;4968789.014
7;33;1;Yes;3;G9;40;8.01;1416;7071161.049
7;33;2;Yes;3;G10;40;8.01;1253;6257178.527
10;40;1;Yes;3;H1;40;8.01;899;4489388.265
10;40;2;Yes;3;H2;40;8.01;677;3380774.032
10;30;1;Yes;3;H3;40;8.01;2025;10112359.55
10;30;2;Yes;3;H4;40;8.01;889;4439450.687
10;15;1;Yes;3;H5;40;8.01;871;4349563.046
10;15;2;Yes;3;H6;40;8.01;871;4349563.046
10;5;1;Yes;3;H7;40;8.01;848;4234706.617
10;5;2;Yes;3;H8;40;8.01;716;3575530.587
10;33;1;Yes;3;H9;40;8.01;860;4294631.71
10;33;2;Yes;3;H10;40;8.01;811;4049937.578
14;40;1;Yes;4;B1;40;9.33;749;3211146.838
14;40;2;Yes;4;B6;40;9.33;636;2726688.103
14;30;1;Yes;4;B2;40;9.33;696;2983922.83
14;30;2;Yes;4;B7;40;9.33;716;3069667.738
14;15;1;Yes;4;B3;40;9.33;878;3764201.501
14;15;2;Yes;4;B8;40;9.33;790;3386923.901
14;5;1;Yes;4;B4;40;9.33;740;3172561.629
14;5;2;Yes;4;B9;40;9.33;621;2662379.421
14;33;1;Yes;4;B5;40;9.33;718;3078242.229
14;33;2;Yes;4;B10;40;9.33;695;2979635.584
17;40;1;Yes;4;D1;40;9.33;531;2276527.331
17;40;2;Yes;4;D6;40;9.33;438;1877813.505
17;30;1;Yes;4;D2;40;9.33;532;2280814.577
17;30;2;Yes;4;D7;40;9.33;531;2276527.331
17;15;1;Yes;4;D3;40;9.33;576;2469453.376
17;15;2;Yes;4;D8;40;9.33;606;2598070.74
17;5;1;Yes;4;D4;40;9.33;467;2002143.623
17;5;2;Yes;4;D9;40;9.33;460;1972132.905
17;33;1;Yes;4;D5;40;9.33;588;2520900.322
17;33;2;Yes;4;D10;40;9.33;656;2812433.012
21;40;1;Yes;4;F1;40;9.33;15359;65847802.79
21;40;2;Yes;4;F6;40;9.33;33859;145161843.5
21;30;1;Yes;4;F2;40;9.33;454;1946409.432
21;30;2;Yes;4;F7;40;9.33;14299;61303322.62
21;15;1;Yes;4;F3;40;9.33;510;2186495.177
21;15;2;Yes;4;F8;40;9.33;51699;221646302.3
21;5;1;Yes;4;F4;40;9.33;399;1710610.932
21;5;2;Yes;4;F9;40;9.33;438;1877813.505
21;33;1;Yes;4;F5;40;9.33;13544;58066452.3
21;33;2;Yes;4;F10;40;9.33;23534;100896034.3
28;40;1;Yes;5;B1;40;9.33;13352;57243301.18
28;40;2;Yes;5;B6;40;9.33;25349;108677384.8
28;30;1;Yes;5;B2;40;9.33;341;1461950.697
28;30;2;Yes;5;B7;40;9.33;12064;51721329.05
28;15;1;Yes;5;B3;40;9.33;456;1954983.923
28;15;2;Yes;5;B8;40;9.33;50861;218053590.6
28;5;1;Yes;5;B4;40;9.33;361;1547695.606
28;5;2;Yes;5;B9;40;9.33;360;1543408.36
28;33;1;Yes;5;B5;40;9.33;17042;73063236.87
28;33;2;Yes;5;B10;40;9.33;17885;76677384.78
35;40;1;Yes;5;D1;40;9.33;39205;168081457.7
35;40;2;Yes;5;D6;40;9.33;39082;167554126.5
35;30;1;Yes;5;D2;40;9.33;351;1504823.151
35;30;2;Yes;5;D7;40;9.33;15829;67862808.15
35;15;1;Yes;5;D3;40;9.33;361;1547695.606
35;15;2;Yes;5;D8;40;9.33;54363;233067524.1
35;5;1;Yes;5;D4;40;9.33;319;1367631.297
35;5;2;Yes;5;D9;40;9.33;282;1209003.215
35;33;1;Yes;5;D5;40;9.33;36707;157371918.5
35;33;2;Yes;5;D10;40;9.33;22102;94756698.82
42;40;1;Yes;5;F1;40;9.33;85106;364870310.8
42;40;2;Yes;5;F6;40;9.33;95331;408707395.5
42;30;1;Yes;5;F2;40;9.33;340;1457663.451
42;30;2;Yes;5;F7;40;9.33;132513;568115755.6
42;15;1;Yes;5;F3;40;9.33;409;1753483.387
