TIME;REPLICATE_1;REPLICATE_2
0;1127592.593;943333.3333
0.998611111;2872928.177;2426040.062
2.000694444;5379834.254;7058936.826
2.99375;12522444.75;37546426.56
3.999305556;19649516.57;26296229.48
5;25628453.04;30573696.55
5.997916667;30226174.03;36949305.43
7.004861111;38777624.31;41795056.83
8.001388889;50419544.2;56543388.06
8.997222222;56485657.59;56684106.08
10.01111111;88193582.7;77521716.01
10.99861111;78815812.8;78851267.51
12.00833333;69225314.66;67558943.45
13.01111111;68906222.3;70537138.81
