TIME;REPLICATE_1;REPLICATE_2
0;1028888.889;1060185.185
1.014583333;2194406.077;2861132.512
2.018055556;1913328.729;3634244.992
3.017361111;71823.20442;172575.5018
4.024305556;10877.07182;12808.94822
5.022222222;10877.07182;11546.09417
6.01875;22099.44751;20927.29569
7.029861111;63535.9116;57189.2477
8.024305556;157458.5635;155331.0482
9.022222222;370016.2367;409525.5277
10.02291667;741535.1888;870944.8679
11.02361111;1065413.934;1122141.464
12.02083333;893281.3331;975181.7054
13.02013889;723276.0149;1382733.558
