TIME;REPLICATE_1;REPLICATE_2
0;10984269.66;18530337.08
0.247222222;8152808.989;7887640.449
0.495833333;6040449.438;6080898.876
0.746527778;5683146.067;5406741.573
1.014583333;5905617.978;5689887.64
1.249305556;8224719.101;8062921.348
1.494444444;39460674.16;35146067.42
1.746527778;88348314.61;65932584.27
2.018055556;289418221.7;274753018.7
4.024305556;315345773.9;346564215.1
5.022222222;189791438;383534577.4
6.01875;392096597.1;341053787
7.029861111;335093304.1;337014270
8.024305556;338748627.9;399560922.1
9.022222222;398682766.2;412184412.7
10.02291667;294731064.8;327881449
11.02361111;409041980.6;354144241.1
12.02083333;654682454.3;683100107.6
13.02013889;736921420.9;748116254
