TIME;REPLICATE_1;REPLICATE_2
0;6988764.045;5294382.022
0.240277778;4835955.056;4332584.27
0.489583333;4503370.787;4422471.91
0.736111111;3982022.472;4786516.854
1.004166667;4898368.883;4597239.649
1.242361111;4963613.551;5856963.614
1.488888889;4416562.108;3302383.94
1.741666667;4130489.335;4657465.496
2.014583333;5110867.179;5525795.829
3.0125;7139407.245;6032930.845
5.016666667;25073977.27;34288068.18
6.014583333;152272727.3;
7.025694444;48636363.64;45454545.45
8.020833333;25454545.45;21818181.82
9.020833333;27954545.45;19090909.09
10.01805556;71044133.48;65123789.02
11.00972222;64585575.89;72120559.74
12.01944444;72658772.87;67276641.55
13.01388889;100107642.6;76426264.8
