TIME;REPLICATE_1;REPLICATE_2
0;1121111.111;1067407.407
1.004166667;2885978.428;3702426.81
2.014583333;8330893.683;8232473.035
3.0125;45391108.61;48088538.74
4.01875;42412500;40025000
5.016666667;59462500;56208333.33
6.014583333;7314583.333;7827083.333
7.025694444;3941666.667;4233333.333
8.020833333;2887500;2658333.333
9.020833333;2404166.667;2097916.667
10.01805556;2308333.333;1216666.667
11.00972222;3714548.803;3699815.838
12.01944444;4031307.551;3650092.081
13.01388889;4627992.634;3541436.464
