TIME;REPLICATE_1;REPLICATE_2
0;7292346.299;9395232.12
0.236111111;6509410.289;5751568.381
0.484027778;13199498.12;13048933.5
0.727083333;20316185.7;20005018.82
1.006944444;107834378.9;103979924.7
1.236805556;353927227.1;334115432.9
1.482638889;339623588.5;289058971.1
1.7375;287628607.3;327804266
2.010416667;472545454.5;499772727.3
3.009027778;440590909.1;502454545.5
4.016666667;366875000;367045454.5
5.014583333;439772727.3;375738636.4
6.009722222;426409090.9;508090909.1
7.024305556;371590909.1;351477272.7
8.01875;441477272.7;502159090.9
9.022222222;461931818.2;513068181.8
10.01388889;458234660.9;510764262.6
11.01041667;578902045.2;612701829.9
12.01875;473089343.4;476318622.2
13.01111111;861141.0118;437890204.5
