TIME;REPLICATE_1;REPLICATE_2
0;1004629.63;1613148.148
1.006944444;3318374.422;3313174.114
2.010416667;722650.2311;621533.1279
3.009027778;318889.5142;386419.0583
4.016666667;149438.4161;193222.9202
5.014583333;294117.6471;326480.1066
6.009722222;315058.0621;283647.4396
7.024305556;405101.8466;587093.0897
8.01875;337362.4391;444254.0141
9.022222222;204762.7638;235432.0765
10.01388889;181634.494;221035.5403
11.01041667;208190.5106;241926.7545
12.01875;188213.628;237753.2228
13.01111111;266666.6667;334438.3057
