TIME;REPLICATE_1;REPLICATE_2
0;1162407.407;1149629.63
0.994444444;2397342.065;2240369.8
1.999305556;6465716.487;3066255.778
2.99375;33862314.76;35906959.29
4.002083333;41328764.52;45359794.4
5.001388889;43351418.24;49662097.85
5.999305556;40681515.32;31086997.91
6.999305556;58333333.33;54188083
8.002083333;67652895.54;72262312.83
8.998611111;94082626.74;104023092.2
10.00555556;120115460.9;210373444
10.99375;90632365.15;84577593.36
12.00555556;140925093.6;147153558.1
13;94651685.39;94591760.3
