TIME;REPLICATE_1;REPLICATE_2
0;5781681.305;5565872.02
0.222916667;5335006.274;4210790.464
0.477083333;10410537.87;12021953.9
0.711805556;21071350.16;21185510.43
0.998611111;128878155.9;124781558.7
1.225694444;370906695.9;404838638.9
1.472916667;517475301.9;520878155.9
1.727777778;521997804.6;624500548.8
2.000694444;594545454.5;470636363.6
3.000694444;367556818.2;238125000
4.008333333;611636363.6;354636363.6
5.00625;450000000;322545454.5
6;355454545.5;513818181.8
7.014583333;411363636.4;347363636.4
8.009027778;411636363.6;241636363.6
9.013888889;409090909.1;355000000
10.00486111;423035522.1;439289558.7
11.00069444;536598493;470505920.3
12.00833333;390419806.2;506673842.8
13.00208333;532723358.4;662432723.4
